uid,strategy,metric,score,metric_logical
f801cfe693b7e8ca9064dc636337cd4e,"Confuse Features with Benefits: Introduce ambiguity by blending product features with their benefits, making the description less clear and informative.",LLMJudge-qwen3_32b-seed42,0.5,LLMJudge
f801cfe693b7e8ca9064dc636337cd4e,"Weaken SEO Optimization: Reduce the effectiveness of keyword integration, leading to less visibility in search engine results.",LLMJudge-qwen3_32b-seed42,0.5,LLMJudge
f801cfe693b7e8ca9064dc636337cd4e,"Disrupt Active Voice: Shift to passive voice or awkward phrasing, diminishing the clarity and impact of the product description.",LLMJudge-qwen3_32b-seed42,0.5,LLMJudge
108cdf63a53d973d167fd3ded5150fbc,"Confuse Features with Benefits: Introduce ambiguity by blending product features with their benefits, making the description less clear and informative.",LLMJudge-qwen3_32b-seed42,0.0,LLMJudge
108cdf63a53d973d167fd3ded5150fbc,"Weaken SEO Optimization: Reduce the effectiveness of keyword integration, leading to less visibility in search engine results.",LLMJudge-qwen3_32b-seed42,0.0,LLMJudge
108cdf63a53d973d167fd3ded5150fbc,"Disrupt Active Voice: Shift to passive voice or awkward phrasing, diminishing the clarity and impact of the product description.",LLMJudge-qwen3_32b-seed42,0.0,LLMJudge
ec0027e8cfce27851981c11f81814724,"Confuse Features with Benefits: Introduce ambiguity by blending product features with their benefits, making the description less clear and informative.",LLMJudge-qwen3_32b-seed42,-1.0,LLMJudge
ec0027e8cfce27851981c11f81814724,"Weaken SEO Optimization: Reduce the effectiveness of keyword integration, leading to less visibility in search engine results.",LLMJudge-qwen3_32b-seed42,0.0,LLMJudge
ec0027e8cfce27851981c11f81814724,"Disrupt Active Voice: Shift to passive voice or awkward phrasing, diminishing the clarity and impact of the product description.",LLMJudge-qwen3_32b-seed42,0.0,LLMJudge
f82a62137c6e61901b13c08bc5685e4d,"Confuse Features with Benefits: Introduce ambiguity by blending product features with their benefits, making the description less clear and informative.",LLMJudge-qwen3_32b-seed42,0.0,LLMJudge
f82a62137c6e61901b13c08bc5685e4d,"Weaken SEO Optimization: Reduce the effectiveness of keyword integration, leading to less visibility in search engine results.",LLMJudge-qwen3_32b-seed42,0.0,LLMJudge
f82a62137c6e61901b13c08bc5685e4d,"Disrupt Active Voice: Shift to passive voice or awkward phrasing, diminishing the clarity and impact of the product description.",LLMJudge-qwen3_32b-seed42,0.0,LLMJudge
279b17b0e0f009f16e6eb50e44216cab,"Confuse Features with Benefits: Introduce ambiguity by blending product features with their benefits, making the description less clear and informative.",LLMJudge-qwen3_32b-seed42,0.0,LLMJudge
