uid,strategy,metric,score,metric_logical
dcc0cd81daf008bdfae70cb902823c53,Provide vague or overly general advice that lacks actionable steps,LLMJudge-qwen3_32b-seed42,0.75,LLMJudge
dcc0cd81daf008bdfae70cb902823c53,Introduce irrelevant information that distracts from the core issue,LLMJudge-qwen3_32b-seed42,0.5,LLMJudge
dcc0cd81daf008bdfae70cb902823c53,Use overly complex language or formatting that obscures clarity,LLMJudge-qwen3_32b-seed42,1.0,LLMJudge
2fe9fed70ecfdfc7406f63336b9f67b5,Provide vague or overly general advice that lacks actionable steps,LLMJudge-qwen3_32b-seed42,0.125,LLMJudge
2fe9fed70ecfdfc7406f63336b9f67b5,Introduce irrelevant information that distracts from the core issue,LLMJudge-qwen3_32b-seed42,0.5,LLMJudge
2fe9fed70ecfdfc7406f63336b9f67b5,Use overly complex language or formatting that obscures clarity,LLMJudge-qwen3_32b-seed42,0.25,LLMJudge
1442ea8b59ba6c124ac8525dab82bd08,Provide vague or overly general advice that lacks actionable steps,LLMJudge-qwen3_32b-seed42,0.5,LLMJudge
1442ea8b59ba6c124ac8525dab82bd08,Introduce irrelevant information that distracts from the core issue,LLMJudge-qwen3_32b-seed42,0.75,LLMJudge
1442ea8b59ba6c124ac8525dab82bd08,Use overly complex language or formatting that obscures clarity,LLMJudge-qwen3_32b-seed42,0.75,LLMJudge
48ea9872c8b201ca1c1773bbe70170c9,Provide vague or overly general advice that lacks actionable steps,LLMJudge-qwen3_32b-seed42,-0.125,LLMJudge
48ea9872c8b201ca1c1773bbe70170c9,Introduce irrelevant information that distracts from the core issue,LLMJudge-qwen3_32b-seed42,0.875,LLMJudge
48ea9872c8b201ca1c1773bbe70170c9,Use overly complex language or formatting that obscures clarity,LLMJudge-qwen3_32b-seed42,0.375,LLMJudge
c19ec0c4a847787392020a13174dac02,Provide vague or overly general advice that lacks actionable steps,LLMJudge-qwen3_32b-seed42,0.625,LLMJudge
