uid,strategy,metric,score,metric_logical
dcc0cd81daf008bdfae70cb902823c53,same_obvious,LLMJudge-qwen3_32b-seed42,1.0,LLMJudge
2fe9fed70ecfdfc7406f63336b9f67b5,same_obvious,LLMJudge-qwen3_32b-seed42,1.0,LLMJudge
1442ea8b59ba6c124ac8525dab82bd08,same_obvious,LLMJudge-qwen3_32b-seed42,1.0,LLMJudge
48ea9872c8b201ca1c1773bbe70170c9,same_obvious,LLMJudge-qwen3_32b-seed42,0.875,LLMJudge
c19ec0c4a847787392020a13174dac02,same_obvious,LLMJudge-qwen3_32b-seed42,1.0,LLMJudge
a358fad2e28e1f7d3fc52755bd34849b,same_obvious,LLMJudge-qwen3_32b-seed42,1.0,LLMJudge
ff74fa1597632dab4f80bf4aec94e907,same_obvious,LLMJudge-qwen3_32b-seed42,0.75,LLMJudge
92bb363244292221145525077d1306d6,same_obvious,LLMJudge-qwen3_32b-seed42,0.5,LLMJudge
0b2c66ac1f8199f86c00bf5d412cc36c,same_obvious,LLMJudge-qwen3_32b-seed42,1.0,LLMJudge
0649bc1a231eccf68cb2be7da1adadb7,same_obvious,LLMJudge-qwen3_32b-seed42,0.75,LLMJudge
41e967b0ccf6603299264ee180d2b763,same_obvious,LLMJudge-qwen3_32b-seed42,0.25,LLMJudge
5bf6b0f3084abb60f4069c81d97c3ed8,same_obvious,LLMJudge-qwen3_32b-seed42,0.875,LLMJudge
f9517141bc8e0acd91a94a0e52426bd4,same_obvious,LLMJudge-qwen3_32b-seed42,0.75,LLMJudge
9eb7be8308db996a7ca95250a5f47b4e,same_obvious,LLMJudge-qwen3_32b-seed42,0.875,LLMJudge
73ddd7f74ce126f782900cdfe9a55509,same_obvious,LLMJudge-qwen3_32b-seed42,0.75,LLMJudge
1faf0ded025e8cd1f60c151bfa4ca0de,same_obvious,LLMJudge-qwen3_32b-seed42,1.0,LLMJudge
9a4a189905d89c96ee4ce0481278c7bc,same_obvious,LLMJudge-qwen3_32b-seed42,0.625,LLMJudge
51e0ef37662d6d6ad70b8765eebec1bd,same_obvious,LLMJudge-qwen3_32b-seed42,1.0,LLMJudge
7a3a7b0bc82a43df002b41125ef35f33,same_obvious,LLMJudge-qwen3_32b-seed42,1.0,LLMJudge
48ea9872c8b201ca1c1773bbe70170c9,same_obvious,LLMJudge-qwen3_32b-seed42,0.875,LLMJudge
6fb316e2677fc2f091dde02c009c9306,same_obvious,LLMJudge-qwen3_32b-seed42,1.0,LLMJudge
c90d54dc00fe18aa94b34778831ca527,same_obvious,LLMJudge-qwen3_32b-seed42,1.0,LLMJudge
a6cd9e3ed71e9d66eea1845d39155784,same_obvious,LLMJudge-qwen3_32b-seed42,0.75,LLMJudge
6266f27bb635107a3cf388d77e1c51ab,same_obvious,LLMJudge-qwen3_32b-seed42,0.5,LLMJudge
035ed2311b96d2a65ec6a6fe71046c14,same_obvious,LLMJudge-qwen3_32b-seed42,1.0,LLMJudge
a6b24668430907d0c15a2e24d42c0ddb,same_obvious,LLMJudge-qwen3_32b-seed42,1.0,LLMJudge
5752ef4acf1dbf1b4f8c6dedea76efa4,same_obvious,LLMJudge-qwen3_32b-seed42,0.75,LLMJudge
8e50191baec2f75d7317f15f44d0801c,same_obvious,LLMJudge-qwen3_32b-seed42,1.0,LLMJudge
fc42f578dfa5cd847ba369215fc723cf,same_obvious,LLMJudge-qwen3_32b-seed42,1.0,LLMJudge
6776468400b158821b8e8f7dffb67e41,same_obvious,LLMJudge-qwen3_32b-seed42,1.0,LLMJudge
