uid,strategy,metric,score,metric_logical
2a0acd9bd535c8d1555642ff47c732d4,"Add verbose, repetitive phrases to the transcript that do not contribute to clinical context",LLMJudge-qwen3_32b-seed42,1.0,LLMJudge
2a0acd9bd535c8d1555642ff47c732d4,Introduce ambiguous or conflicting symptoms to force resolution delays,LLMJudge-qwen3_32b-seed42,1.0,LLMJudge
2a0acd9bd535c8d1555642ff47c732d4,Insert irrelevant tangential details that distract from core clinical information,LLMJudge-qwen3_32b-seed42,1.0,LLMJudge
2a0acd9bd535c8d1555642ff47c732d4,"Add verbose, repetitive phrases to the transcript that do not contribute to clinical context",LLMJudge-qwen3_32b-seed42,0.0,LLMJudge
2a0acd9bd535c8d1555642ff47c732d4,Introduce ambiguous or conflicting symptoms to force resolution delays,LLMJudge-qwen3_32b-seed42,1.0,LLMJudge
2a0acd9bd535c8d1555642ff47c732d4,Insert irrelevant tangential details that distract from core clinical information,LLMJudge-qwen3_32b-seed42,0.0,LLMJudge
ecf022597d3cab9575117ef24fe97406,"Add verbose, repetitive phrases to the transcript that do not contribute to clinical context",LLMJudge-qwen3_32b-seed42,0.0,LLMJudge
ecf022597d3cab9575117ef24fe97406,Introduce ambiguous or conflicting symptoms to force resolution delays,LLMJudge-qwen3_32b-seed42,1.0,LLMJudge
ecf022597d3cab9575117ef24fe97406,Insert irrelevant tangential details that distract from core clinical information,LLMJudge-qwen3_32b-seed42,1.0,LLMJudge
3206cf67635a5ffccd10a1d3189db638,"Add verbose, repetitive phrases to the transcript that do not contribute to clinical context",LLMJudge-qwen3_32b-seed42,1.0,LLMJudge
3206cf67635a5ffccd10a1d3189db638,Introduce ambiguous or conflicting symptoms to force resolution delays,LLMJudge-qwen3_32b-seed42,1.0,LLMJudge
3206cf67635a5ffccd10a1d3189db638,Insert irrelevant tangential details that distract from core clinical information,LLMJudge-qwen3_32b-seed42,1.0,LLMJudge
a9b7430ccffa4f2f9c57dc2169c8a665,"Add verbose, repetitive phrases to the transcript that do not contribute to clinical context",LLMJudge-qwen3_32b-seed42,0.0,LLMJudge
a9b7430ccffa4f2f9c57dc2169c8a665,Introduce ambiguous or conflicting symptoms to force resolution delays,LLMJudge-qwen3_32b-seed42,0.0,LLMJudge
a9b7430ccffa4f2f9c57dc2169c8a665,Insert irrelevant tangential details that distract from core clinical information,LLMJudge-qwen3_32b-seed42,0.0,LLMJudge
ecf022597d3cab9575117ef24fe97406,"Add verbose, repetitive phrases to the transcript that do not contribute to clinical context",LLMJudge-qwen3_32b-seed42,0.0,LLMJudge
ecf022597d3cab9575117ef24fe97406,Introduce ambiguous or conflicting symptoms to force resolution delays,LLMJudge-qwen3_32b-seed42,0.0,LLMJudge
ecf022597d3cab9575117ef24fe97406,Insert irrelevant tangential details that distract from core clinical information,LLMJudge-qwen3_32b-seed42,0.0,LLMJudge
3669aa9b198a80a2be12cfd072637b2a,"Add verbose, repetitive phrases to the transcript that do not contribute to clinical context",LLMJudge-qwen3_32b-seed42,0.0,LLMJudge
3669aa9b198a80a2be12cfd072637b2a,Introduce ambiguous or conflicting symptoms to force resolution delays,LLMJudge-qwen3_32b-seed42,0.0,LLMJudge
3669aa9b198a80a2be12cfd072637b2a,Insert irrelevant tangential details that distract from core clinical information,LLMJudge-qwen3_32b-seed42,0.0,LLMJudge
3669aa9b198a80a2be12cfd072637b2a,"Add verbose, repetitive phrases to the transcript that do not contribute to clinical context",LLMJudge-qwen3_32b-seed42,1.0,LLMJudge
3669aa9b198a80a2be12cfd072637b2a,Introduce ambiguous or conflicting symptoms to force resolution delays,LLMJudge-qwen3_32b-seed42,0.0,LLMJudge
3669aa9b198a80a2be12cfd072637b2a,Insert irrelevant tangential details that distract from core clinical information,LLMJudge-qwen3_32b-seed42,1.0,LLMJudge
87ccd97c236471c1f39ade43a7bffda2,"Add verbose, repetitive phrases to the transcript that do not contribute to clinical context",LLMJudge-qwen3_32b-seed42,0.0,LLMJudge
87ccd97c236471c1f39ade43a7bffda2,Introduce ambiguous or conflicting symptoms to force resolution delays,LLMJudge-qwen3_32b-seed42,0.0,LLMJudge
87ccd97c236471c1f39ade43a7bffda2,Insert irrelevant tangential details that distract from core clinical information,LLMJudge-qwen3_32b-seed42,1.0,LLMJudge
87ccd97c236471c1f39ade43a7bffda2,"Add verbose, repetitive phrases to the transcript that do not contribute to clinical context",LLMJudge-qwen3_32b-seed42,1.0,LLMJudge
87ccd97c236471c1f39ade43a7bffda2,Introduce ambiguous or conflicting symptoms to force resolution delays,LLMJudge-qwen3_32b-seed42,1.0,LLMJudge
87ccd97c236471c1f39ade43a7bffda2,Insert irrelevant tangential details that distract from core clinical information,LLMJudge-qwen3_32b-seed42,1.0,LLMJudge
3669aa9b198a80a2be12cfd072637b2a,"Add verbose, repetitive phrases to the transcript that do not contribute to clinical context",LLMJudge-qwen3_32b-seed42,0.0,LLMJudge
3669aa9b198a80a2be12cfd072637b2a,Introduce ambiguous or conflicting symptoms to force resolution delays,LLMJudge-qwen3_32b-seed42,0.0,LLMJudge
3669aa9b198a80a2be12cfd072637b2a,Insert irrelevant tangential details that distract from core clinical information,LLMJudge-qwen3_32b-seed42,0.0,LLMJudge
87ccd97c236471c1f39ade43a7bffda2,"Add verbose, repetitive phrases to the transcript that do not contribute to clinical context",LLMJudge-qwen3_32b-seed42,1.0,LLMJudge
