uid,strategy,metric,score,metric_logical
2a0acd9bd535c8d1555642ff47c732d4,"Add verbose, repetitive phrases to the transcript that do not contribute to clinical context",LLMJudge-qwen3_32b-seed42,0.12291666666666666,LLMJudge
2a0acd9bd535c8d1555642ff47c732d4,Introduce ambiguous or conflicting symptoms to force resolution delays,LLMJudge-qwen3_32b-seed42,0.12291666666666666,LLMJudge
2a0acd9bd535c8d1555642ff47c732d4,Insert irrelevant tangential details that distract from core clinical information,LLMJudge-qwen3_32b-seed42,0.11875,LLMJudge
2a0acd9bd535c8d1555642ff47c732d4,"Add verbose, repetitive phrases to the transcript that do not contribute to clinical context",LLMJudge-qwen3_32b-seed42,-0.371875,LLMJudge
2a0acd9bd535c8d1555642ff47c732d4,Introduce ambiguous or conflicting symptoms to force resolution delays,LLMJudge-qwen3_32b-seed42,0.11770833333333332,LLMJudge
2a0acd9bd535c8d1555642ff47c732d4,Insert irrelevant tangential details that distract from core clinical information,LLMJudge-qwen3_32b-seed42,-0.621875,LLMJudge
ecf022597d3cab9575117ef24fe97406,"Add verbose, repetitive phrases to the transcript that do not contribute to clinical context",LLMJudge-qwen3_32b-seed42,-0.03125,LLMJudge
ecf022597d3cab9575117ef24fe97406,Introduce ambiguous or conflicting symptoms to force resolution delays,LLMJudge-qwen3_32b-seed42,0.125,LLMJudge
ecf022597d3cab9575117ef24fe97406,Insert irrelevant tangential details that distract from core clinical information,LLMJudge-qwen3_32b-seed42,0.14583333333333331,LLMJudge
3206cf67635a5ffccd10a1d3189db638,"Add verbose, repetitive phrases to the transcript that do not contribute to clinical context",LLMJudge-qwen3_32b-seed42,0.0036458333333333343,LLMJudge
3206cf67635a5ffccd10a1d3189db638,Introduce ambiguous or conflicting symptoms to force resolution delays,LLMJudge-qwen3_32b-seed42,0.0036458333333333343,LLMJudge
3206cf67635a5ffccd10a1d3189db638,Insert irrelevant tangential details that distract from core clinical information,LLMJudge-qwen3_32b-seed42,0.06614583333333333,LLMJudge
