uid,strategy,metric,score,metric_logical
ce8d55ca3791982c86f047cdc8a3a418,Altered datetime extraction: Replace `.dt.month` with string-based date parsing to introduce logical errors.,LLMJudge-qwen3_32b-seed42,0.0,LLMJudge
ce8d55ca3791982c86f047cdc8a3a418,Syntax disruption: Modify lambda functions by removing colons or misaligning indentation to create runtime failures.,LLMJudge-qwen3_32b-seed42,0.0,LLMJudge
ce8d55ca3791982c86f047cdc8a3a418,"Incorrect type conversion: Change `height=float` to `height=int` in transformations, corrupting numerical precision.",LLMJudge-qwen3_32b-seed42,0.0,LLMJudge
8efea49e516203f968b41641ef3f12b8,Altered datetime extraction: Replace `.dt.month` with string-based date parsing to introduce logical errors.,LLMJudge-qwen3_32b-seed42,0.0,LLMJudge
8efea49e516203f968b41641ef3f12b8,Syntax disruption: Modify lambda functions by removing colons or misaligning indentation to create runtime failures.,LLMJudge-qwen3_32b-seed42,0.0,LLMJudge
8efea49e516203f968b41641ef3f12b8,"Incorrect type conversion: Change `height=float` to `height=int` in transformations, corrupting numerical precision.",LLMJudge-qwen3_32b-seed42,0.0,LLMJudge
0b2b2cb9001ac4a182d934a24ba427e0,Altered datetime extraction: Replace `.dt.month` with string-based date parsing to introduce logical errors.,LLMJudge-qwen3_32b-seed42,1.0,LLMJudge
0b2b2cb9001ac4a182d934a24ba427e0,Syntax disruption: Modify lambda functions by removing colons or misaligning indentation to create runtime failures.,LLMJudge-qwen3_32b-seed42,1.0,LLMJudge
0b2b2cb9001ac4a182d934a24ba427e0,"Incorrect type conversion: Change `height=float` to `height=int` in transformations, corrupting numerical precision.",LLMJudge-qwen3_32b-seed42,1.0,LLMJudge
505f542de6f8c4bb3f46a30ec06684ca,Altered datetime extraction: Replace `.dt.month` with string-based date parsing to introduce logical errors.,LLMJudge-qwen3_32b-seed42,0.0,LLMJudge
505f542de6f8c4bb3f46a30ec06684ca,Syntax disruption: Modify lambda functions by removing colons or misaligning indentation to create runtime failures.,LLMJudge-qwen3_32b-seed42,0.0,LLMJudge
505f542de6f8c4bb3f46a30ec06684ca,"Incorrect type conversion: Change `height=float` to `height=int` in transformations, corrupting numerical precision.",LLMJudge-qwen3_32b-seed42,0.0,LLMJudge
86215affc10344b259275703ffc9f19a,Altered datetime extraction: Replace `.dt.month` with string-based date parsing to introduce logical errors.,LLMJudge-qwen3_32b-seed42,0.0,LLMJudge
86215affc10344b259275703ffc9f19a,Syntax disruption: Modify lambda functions by removing colons or misaligning indentation to create runtime failures.,LLMJudge-qwen3_32b-seed42,0.0,LLMJudge
86215affc10344b259275703ffc9f19a,"Incorrect type conversion: Change `height=float` to `height=int` in transformations, corrupting numerical precision.",LLMJudge-qwen3_32b-seed42,0.0,LLMJudge
3054a3712d3fdab017e24c58d79afb26,Altered datetime extraction: Replace `.dt.month` with string-based date parsing to introduce logical errors.,LLMJudge-qwen3_32b-seed42,0.0,LLMJudge
3054a3712d3fdab017e24c58d79afb26,Syntax disruption: Modify lambda functions by removing colons or misaligning indentation to create runtime failures.,LLMJudge-qwen3_32b-seed42,0.0,LLMJudge
3054a3712d3fdab017e24c58d79afb26,"Incorrect type conversion: Change `height=float` to `height=int` in transformations, corrupting numerical precision.",LLMJudge-qwen3_32b-seed42,0.0,LLMJudge
75ba6dc6f24e2cafff75919543cd3efa,Altered datetime extraction: Replace `.dt.month` with string-based date parsing to introduce logical errors.,LLMJudge-qwen3_32b-seed42,0.0,LLMJudge
75ba6dc6f24e2cafff75919543cd3efa,Syntax disruption: Modify lambda functions by removing colons or misaligning indentation to create runtime failures.,LLMJudge-qwen3_32b-seed42,0.0,LLMJudge
75ba6dc6f24e2cafff75919543cd3efa,"Incorrect type conversion: Change `height=float` to `height=int` in transformations, corrupting numerical precision.",LLMJudge-qwen3_32b-seed42,0.0,LLMJudge
c4cf2c49370bb6a971d045d6dfebe21a,Altered datetime extraction: Replace `.dt.month` with string-based date parsing to introduce logical errors.,LLMJudge-qwen3_32b-seed42,1.0,LLMJudge
c4cf2c49370bb6a971d045d6dfebe21a,Syntax disruption: Modify lambda functions by removing colons or misaligning indentation to create runtime failures.,LLMJudge-qwen3_32b-seed42,1.0,LLMJudge
c4cf2c49370bb6a971d045d6dfebe21a,"Incorrect type conversion: Change `height=float` to `height=int` in transformations, corrupting numerical precision.",LLMJudge-qwen3_32b-seed42,0.0,LLMJudge
df66cc7932afe4e89577bd654025c532,Altered datetime extraction: Replace `.dt.month` with string-based date parsing to introduce logical errors.,LLMJudge-qwen3_32b-seed42,0.0,LLMJudge
df66cc7932afe4e89577bd654025c532,Syntax disruption: Modify lambda functions by removing colons or misaligning indentation to create runtime failures.,LLMJudge-qwen3_32b-seed42,0.0,LLMJudge
df66cc7932afe4e89577bd654025c532,"Incorrect type conversion: Change `height=float` to `height=int` in transformations, corrupting numerical precision.",LLMJudge-qwen3_32b-seed42,0.0,LLMJudge
21290b829e96cfbf062e633a5138ac1f,Altered datetime extraction: Replace `.dt.month` with string-based date parsing to introduce logical errors.,LLMJudge-qwen3_32b-seed42,0.0,LLMJudge
21290b829e96cfbf062e633a5138ac1f,Syntax disruption: Modify lambda functions by removing colons or misaligning indentation to create runtime failures.,LLMJudge-qwen3_32b-seed42,0.0,LLMJudge
21290b829e96cfbf062e633a5138ac1f,"Incorrect type conversion: Change `height=float` to `height=int` in transformations, corrupting numerical precision.",LLMJudge-qwen3_32b-seed42,0.0,LLMJudge
aa0dcb69d0f676846f1bc3cc576ac5e6,Altered datetime extraction: Replace `.dt.month` with string-based date parsing to introduce logical errors.,LLMJudge-qwen3_32b-seed42,0.0,LLMJudge
aa0dcb69d0f676846f1bc3cc576ac5e6,Syntax disruption: Modify lambda functions by removing colons or misaligning indentation to create runtime failures.,LLMJudge-qwen3_32b-seed42,0.0,LLMJudge
aa0dcb69d0f676846f1bc3cc576ac5e6,"Incorrect type conversion: Change `height=float` to `height=int` in transformations, corrupting numerical precision.",LLMJudge-qwen3_32b-seed42,0.0,LLMJudge
a226cd75f8c3339a6261a50985156dc9,Altered datetime extraction: Replace `.dt.month` with string-based date parsing to introduce logical errors.,LLMJudge-qwen3_32b-seed42,0.0,LLMJudge
a226cd75f8c3339a6261a50985156dc9,Syntax disruption: Modify lambda functions by removing colons or misaligning indentation to create runtime failures.,LLMJudge-qwen3_32b-seed42,0.0,LLMJudge
a226cd75f8c3339a6261a50985156dc9,"Incorrect type conversion: Change `height=float` to `height=int` in transformations, corrupting numerical precision.",LLMJudge-qwen3_32b-seed42,0.0,LLMJudge
b5b444c236ab45234263c585cc011e8c,Altered datetime extraction: Replace `.dt.month` with string-based date parsing to introduce logical errors.,LLMJudge-qwen3_32b-seed42,0.0,LLMJudge
b5b444c236ab45234263c585cc011e8c,Syntax disruption: Modify lambda functions by removing colons or misaligning indentation to create runtime failures.,LLMJudge-qwen3_32b-seed42,0.0,LLMJudge
b5b444c236ab45234263c585cc011e8c,"Incorrect type conversion: Change `height=float` to `height=int` in transformations, corrupting numerical precision.",LLMJudge-qwen3_32b-seed42,0.0,LLMJudge
389665f0c600eca76500129c010a5be2,Altered datetime extraction: Replace `.dt.month` with string-based date parsing to introduce logical errors.,LLMJudge-qwen3_32b-seed42,0.0,LLMJudge
