WorkerId,Input.id,Input.original,Input.simplified,Input.system,Answer.adequacy,Answer.fluency,Answer.simplicity,ref1
0,40,"On the fifth day of flight, November 20, 2022, at 19:09 UTC, the Orion spacecraft entered the Lunar sphere of influence, thus the Moon's gravitational force became stronger than Earth's relative to the spacecraft.","On November 20, 2022, the Orion spacecraft started to be affected by the Moon's gravity more than Earth's. This happened at 19:09 UTC, after five days of flight.",GPT-3-few-shot,100,100,91,"On the fifth day of flight, the Orion spaceship entered the Lunar sphere of influence. This means that the Moon's gravitational force could influence the spaceship more than the Earth's."
1,40,"On the fifth day of flight, November 20, 2022, at 19:09 UTC, the Orion spacecraft entered the Lunar sphere of influence, thus the Moon's gravitational force became stronger than Earth's relative to the spacecraft.","On November 20, 2022, the Orion spacecraft started to be affected by the Moon's gravity more than Earth's. This happened at 19:09 UTC, after five days of flight.",GPT-3-few-shot,91,100,100,"On the fifth day of flight, the Orion spaceship entered the Lunar sphere of influence. This means that the Moon's gravitational force could influence the spaceship more than the Earth's."
2,40,"On the fifth day of flight, November 20, 2022, at 19:09 UTC, the Orion spacecraft entered the Lunar sphere of influence, thus the Moon's gravitational force became stronger than Earth's relative to the spacecraft.","On November 20, 2022, the Orion spacecraft started to be affected by the Moon's gravity more than Earth's. This happened at 19:09 UTC, after five days of flight.",GPT-3-few-shot,91,100,95,"On the fifth day of flight, the Orion spaceship entered the Lunar sphere of influence. This means that the Moon's gravitational force could influence the spaceship more than the Earth's."
1,11,"The last president to run after leaving office was Theodore Roosevelt, who came in second in the 1912 election as the presidential nominee of the Progressive Party, although Herbert Hoover did briefly seek the Republican presidential nomination at several national conventions subsequent to leaving office in 1933.",The last president who ran after leaving the presidential office was Theador Roosevelt. He came in second in the 1912 election as the representative for the Progressive Party. Herbert Hoover also tried to seek the Republican nomination after leaving office in 1933.,Human 1 Writing,69,100,75,The last president who ran after leaving the presidential office was Theador Roosevelt. He came in second in the 1912 election as the representative for the Progressive Party. Herbert Hoover also tried to seek the Republican nomination after leaving office in 1933.
0,11,"The last president to run after leaving office was Theodore Roosevelt, who came in second in the 1912 election as the presidential nominee of the Progressive Party, although Herbert Hoover did briefly seek the Republican presidential nomination at several national conventions subsequent to leaving office in 1933.",The last president who ran after leaving the presidential office was Theador Roosevelt. He came in second in the 1912 election as the representative for the Progressive Party. Herbert Hoover also tried to seek the Republican nomination after leaving office in 1933.,Human 1 Writing,76,100,90,The last president who ran after leaving the presidential office was Theador Roosevelt. He came in second in the 1912 election as the representative for the Progressive Party. Herbert Hoover also tried to seek the Republican nomination after leaving office in 1933.
2,11,"The last president to run after leaving office was Theodore Roosevelt, who came in second in the 1912 election as the presidential nominee of the Progressive Party, although Herbert Hoover did briefly seek the Republican presidential nomination at several national conventions subsequent to leaving office in 1933.",The last president who ran after leaving the presidential office was Theador Roosevelt. He came in second in the 1912 election as the representative for the Progressive Party. Herbert Hoover also tried to seek the Republican nomination after leaving office in 1933.,Human 1 Writing,70,100,90,The last president who ran after leaving the presidential office was Theador Roosevelt. He came in second in the 1912 election as the representative for the Progressive Party. Herbert Hoover also tried to seek the Republican nomination after leaving office in 1933.
2,53,"The complainant claimed that he had not renounced his Nepali citizenship while being an American citizen, and Nepali law does not allow the provision of dual citizenship.",The complaint said he did not renounce his Nepali citizenship while being an American citizen.,Human 2 Writing,65,65,100,The person suing said that he did not renounce his Nepali citizenship while being an American citizen. This is important because Nepali law does not allow for dual citizenship.
3,53,"The complainant claimed that he had not renounced his Nepali citizenship while being an American citizen, and Nepali law does not allow the provision of dual citizenship.",The complaint said he did not renounce his Nepali citizenship while being an American citizen.,Human 2 Writing,81,100,90,The person suing said that he did not renounce his Nepali citizenship while being an American citizen. This is important because Nepali law does not allow for dual citizenship.
4,53,"The complainant claimed that he had not renounced his Nepali citizenship while being an American citizen, and Nepali law does not allow the provision of dual citizenship.",The complaint said he did not renounce his Nepali citizenship while being an American citizen.,Human 2 Writing,90,100,95,The person suing said that he did not renounce his Nepali citizenship while being an American citizen. This is important because Nepali law does not allow for dual citizenship.
5,30,"The club said on social media that customers subdued the gunman, that it was ""devastated by the senseless attack on our community"", and that it offered condolences to the victims and their families.","The club announced on social media that customers had managed to overpower the gunman. They declared that they were ""deeply saddened by the senseless attack on our community"", and offered condolences to those affected and their families.",GPT-3-zero-shot,100,100,90,"On social media, the club said customers stopped the gunman. It wrote it was ""devastated by the senseless attack on our community."" It also gave words of support to the victims and their families."
6,30,"The club said on social media that customers subdued the gunman, that it was ""devastated by the senseless attack on our community"", and that it offered condolences to the victims and their families.","The club announced on social media that customers had managed to overpower the gunman. They declared that they were ""deeply saddened by the senseless attack on our community"", and offered condolences to those affected and their families.",GPT-3-zero-shot,100,100,52,"On social media, the club said customers stopped the gunman. It wrote it was ""devastated by the senseless attack on our community."" It also gave words of support to the victims and their families."
7,30,"The club said on social media that customers subdued the gunman, that it was ""devastated by the senseless attack on our community"", and that it offered condolences to the victims and their families.","The club announced on social media that customers had managed to overpower the gunman. They declared that they were ""deeply saddened by the senseless attack on our community"", and offered condolences to those affected and their families.",GPT-3-zero-shot,63,60,56,"On social media, the club said customers stopped the gunman. It wrote it was ""devastated by the senseless attack on our community."" It also gave words of support to the victims and their families."
2,1,"Bone has published numerous books including Fantastic Fungi Community Cookbook (2021), which includes recipes by wild mushroom foragers, mycologists, and chefs specializing in mushroom-based dishes. ","Bone has published many books including Fantastic Fungi Community Cookbook (2021). This book has recipes from wild mushroom foragers, mycologists, and other people who study mushrooms.",Muss,80,100,70,"Bone has published books which include recipes by foragers, mycologists, and chefs that involve mushroom-based dishes."
5,1,"Bone has published numerous books including Fantastic Fungi Community Cookbook (2021), which includes recipes by wild mushroom foragers, mycologists, and chefs specializing in mushroom-based dishes. ","Bone has published many books including Fantastic Fungi Community Cookbook (2021). This book has recipes from wild mushroom foragers, mycologists, and other people who study mushrooms.",Muss,85,85,75,"Bone has published books which include recipes by foragers, mycologists, and chefs that involve mushroom-based dishes."
8,1,"Bone has published numerous books including Fantastic Fungi Community Cookbook (2021), which includes recipes by wild mushroom foragers, mycologists, and chefs specializing in mushroom-based dishes. ","Bone has published many books including Fantastic Fungi Community Cookbook (2021). This book has recipes from wild mushroom foragers, mycologists, and other people who study mushrooms.",Muss,96,98,95,"Bone has published books which include recipes by foragers, mycologists, and chefs that involve mushroom-based dishes."
5,46,"The film has grossed over $552 million worldwide, becoming the eighth highest-grossing film of 2022.","The film earned over $552 million globally, making it the eighth most successful movie of 2022.",GPT-3-few-shot,100,100,100,The film has earned over $552 million worldwide. It became the eighth highest-earning film of 2022.
3,46,"The film has grossed over $552 million worldwide, becoming the eighth highest-grossing film of 2022.","The film earned over $552 million globally, making it the eighth most successful movie of 2022.",GPT-3-few-shot,100,100,92,The film has earned over $552 million worldwide. It became the eighth highest-earning film of 2022.
7,46,"The film has grossed over $552 million worldwide, becoming the eighth highest-grossing film of 2022.","The film earned over $552 million globally, making it the eighth most successful movie of 2022.",GPT-3-few-shot,77,69,76,The film has earned over $552 million worldwide. It became the eighth highest-earning film of 2022.
