,group1,group2,meandiff,p-adj,lower,upper,reject
0,original,same_obvious,0.1517,0.0083,0.0271,0.2763,True
1,original,same_subtle,0.0012,1.0,-0.1234,0.1258,False
2,original,worse_obvious,-0.0043,1.0,-0.1061,0.0974,False
3,original,worse_subtle,-0.0013,1.0,-0.103,0.1005,False
4,same_obvious,same_subtle,-0.1505,0.0091,-0.2751,-0.0259,True
5,same_obvious,worse_obvious,-0.156,0.0003,-0.2578,-0.0543,True
6,same_obvious,worse_subtle,-0.1529,0.0005,-0.2547,-0.0512,True
7,same_subtle,worse_obvious,-0.0055,0.9999,-0.1073,0.0962,False
8,same_subtle,worse_subtle,-0.0024,1.0,-0.1042,0.0993,False
9,worse_obvious,worse_subtle,0.0031,1.0,-0.0688,0.075,False
