,group1,group2,meandiff,p-adj,lower,upper,reject
0,original,same_obvious,0.0426,0.9157,-0.0956,0.1809,False
1,original,same_subtle,-0.0303,0.9748,-0.1685,0.108,False
2,original,worse_obvious,-0.1685,0.0005,-0.2814,-0.0557,True
3,original,worse_subtle,-0.1045,0.0843,-0.2174,0.0083,False
4,same_obvious,same_subtle,-0.0729,0.5973,-0.2111,0.0654,False
5,same_obvious,worse_obvious,-0.2112,0.0,-0.324,-0.0983,True
6,same_obvious,worse_subtle,-0.1471,0.0037,-0.26,-0.0343,True
7,same_subtle,worse_obvious,-0.1383,0.0078,-0.2512,-0.0254,True
8,same_subtle,worse_subtle,-0.0743,0.3716,-0.1871,0.0386,False
9,worse_obvious,worse_subtle,0.064,0.1819,-0.0158,0.1438,False
