,group1,group2,meandiff,p-adj,lower,upper,reject
0,original,same_obvious,0.1197,0.1496,-0.0235,0.2629,False
1,original,same_subtle,-0.0002,1.0,-0.1435,0.143,False
2,original,worse_obvious,-0.0587,0.6426,-0.1756,0.0583,False
3,original,worse_subtle,-0.0236,0.9815,-0.1405,0.0934,False
4,same_obvious,same_subtle,-0.1199,0.1483,-0.2632,0.0233,False
5,same_obvious,worse_obvious,-0.1784,0.0004,-0.2953,-0.0614,True
6,same_obvious,worse_subtle,-0.1432,0.0078,-0.2602,-0.0263,True
7,same_subtle,worse_obvious,-0.0584,0.6459,-0.1754,0.0585,False
8,same_subtle,worse_subtle,-0.0233,0.9821,-0.1403,0.0936,False
9,worse_obvious,worse_subtle,0.0351,0.7708,-0.0476,0.1178,False
