,input,model_output,strategy,group,ref1,ref2,ref3,ref4,ref5,ref6,ref7,ref8,ref9,ref10,BLEU
0,"in 1990, she was the only female entertainer allowed to perform in saudi arabia.","in 1990, she was the only female entertainer permitted to perform in saudi arabia.",Alter sentence structure for awkward phrasing,worse_subtle,she was the only female allowed to perform in saudi arabia in 1990.,in 1990 she was the only woman actor who could act in saudi arabia.,"in 1990, she was the only woman allowed to perform in saudi arabia.","in 1990, she was the only female performer given permission to perform in sudia arabia.","in 1990, she was the only woman allowed to perform in saudi arabia.","in 1990, she was the only female entertainer allowed to perform in saudi arabia.","in 1990, she was the only female performer allowed to perform in saudi arabia.",she was the only female entertainer allowed to perform in saudi arabia in 1990.,she was the only actress allowed to perform in saudi arabia in 1990.,there was only one female entertainer in saudi arabia in 1990.,81.53551038173119
1,"in 1990, she was the only female entertainer allowed to perform in saudi arabia.","in 1990, she was the only female entertainer is allowed to perform in saudi arabia.",Introduce grammatical errors and inconsistencies,worse_subtle,she was the only female allowed to perform in saudi arabia in 1990.,in 1990 she was the only woman actor who could act in saudi arabia.,"in 1990, she was the only woman allowed to perform in saudi arabia.","in 1990, she was the only female performer given permission to perform in sudia arabia.","in 1990, she was the only woman allowed to perform in saudi arabia.","in 1990, she was the only female entertainer allowed to perform in saudi arabia.","in 1990, she was the only female performer allowed to perform in saudi arabia.",she was the only female entertainer allowed to perform in saudi arabia in 1990.,she was the only actress allowed to perform in saudi arabia in 1990.,there was only one female entertainer in saudi arabia in 1990.,82.82477531331043
2,"in 1990, she was the only female entertainer allowed to perform in saudi arabia.","in 1990, she was the sole female performer authorized to execute in saudi arabia.",Replace common words with complex synonyms,worse_subtle,she was the only female allowed to perform in saudi arabia in 1990.,in 1990 she was the only woman actor who could act in saudi arabia.,"in 1990, she was the only woman allowed to perform in saudi arabia.","in 1990, she was the only female performer given permission to perform in sudia arabia.","in 1990, she was the only woman allowed to perform in saudi arabia.","in 1990, she was the only female entertainer allowed to perform in saudi arabia.","in 1990, she was the only female performer allowed to perform in saudi arabia.",she was the only female entertainer allowed to perform in saudi arabia in 1990.,she was the only actress allowed to perform in saudi arabia in 1990.,there was only one female entertainer in saudi arabia in 1990.,50.353378875558576
3,"in december, 1967, ten boom was honored as one of the righteous among the nations by the state of israel.","in 1967, december, ten boom was among the righteous nations by the state of israel.",Alter sentence structure for awkward phrasing,worse_subtle,"in 1967, ten boom was honored as one of the righteous among the nations by the state of israel.",ten boom was honored in 1967 as one of the righteous among the nations by israel.,"ten boom was given an honor as one of the righteous among the nations by the state of israel in december, 1967.",ten boom was honored by the state of israel in december of 1967.,the righteous among the nations honored ten boom in 1967.,"in december 1967, the state of israel gave ten boom an award. ten boom was given a righteous among the nations award.","in december, 1967, ten boom was given an award for an honest among the countries by the state of israel.","in december, 1967, ten boom was called one of the righteous among the nations by the state of israel.","in december, 1967, ten boom was given the righteous among the nations award by israel.",ten boom was honored as one of the righteous among the nations by israel.,60.86700968648568
4,"in december, 1967, ten boom was honored as one of the righteous among the nations by the state of israel.","in december, 1967, ten boom was one of the righteous among the nations by state of israel.",Introduce grammatical errors and inconsistencies,worse_subtle,"in 1967, ten boom was honored as one of the righteous among the nations by the state of israel.",ten boom was honored in 1967 as one of the righteous among the nations by israel.,"ten boom was given an honor as one of the righteous among the nations by the state of israel in december, 1967.",ten boom was honored by the state of israel in december of 1967.,the righteous among the nations honored ten boom in 1967.,"in december 1967, the state of israel gave ten boom an award. ten boom was given a righteous among the nations award.","in december, 1967, ten boom was given an award for an honest among the countries by the state of israel.","in december, 1967, ten boom was called one of the righteous among the nations by the state of israel.","in december, 1967, ten boom was given the righteous among the nations award by israel.",ten boom was honored as one of the righteous among the nations by israel.,77.92179163450042
5,"in december, 1967, ten boom was honored as one of the righteous among the nations by the state of israel.","in december, 1967, ten boom was one of the virtuous among the nations by the state of israel.",Replace common words with complex synonyms,worse_subtle,"in 1967, ten boom was honored as one of the righteous among the nations by the state of israel.",ten boom was honored in 1967 as one of the righteous among the nations by israel.,"ten boom was given an honor as one of the righteous among the nations by the state of israel in december, 1967.",ten boom was honored by the state of israel in december of 1967.,the righteous among the nations honored ten boom in 1967.,"in december 1967, the state of israel gave ten boom an award. ten boom was given a righteous among the nations award.","in december, 1967, ten boom was given an award for an honest among the countries by the state of israel.","in december, 1967, ten boom was called one of the righteous among the nations by the state of israel.","in december, 1967, ten boom was given the righteous among the nations award by israel.",ten boom was honored as one of the righteous among the nations by israel.,77.70179656407359
6,"addiscombe is a suburb in the london borough of croydon, england.","croydon, england is where addiscombe is a suburb of.",Alter sentence structure for awkward phrasing,worse_subtle,"addiscombe is a small town in croydon, england.","addiscombe is a suburb of croydon, england. it is in the london borough.","addiscombe is a small town in the london borough of croydon, england.","addiscombe, england is a small town in the london borough of croydon.",addiscombe is a suburb in the london borough of croydon in england.,addiscombe is a suburb in the london borough of croydon.,"addiscombe is a suburb of croydon, england.","addiscombe is a suburb in croydon, england.",addiscombe is a suburb in the london borough of the town of croydon.  croydon is located in england.,"addiscombe is a small city in the london borough of croydon, england.",54.52469119630863
7,"addiscombe is a suburb in the london borough of croydon, england.","addiscombe are a suburb of croydon, englands.",Introduce grammatical errors and inconsistencies,worse_subtle,"addiscombe is a small town in croydon, england.","addiscombe is a suburb of croydon, england. it is in the london borough.","addiscombe is a small town in the london borough of croydon, england.","addiscombe, england is a small town in the london borough of croydon.",addiscombe is a suburb in the london borough of croydon in england.,addiscombe is a suburb in the london borough of croydon.,"addiscombe is a suburb of croydon, england.","addiscombe is a suburb in croydon, england.",addiscombe is a suburb in the london borough of the town of croydon.  croydon is located in england.,"addiscombe is a small city in the london borough of croydon, england.",48.549177170732335
8,"addiscombe is a suburb in the london borough of croydon, england.","addiscombe is a suburb of croydon, united kingdom.",Replace common words with complex synonyms,worse_subtle,"addiscombe is a small town in croydon, england.","addiscombe is a suburb of croydon, england. it is in the london borough.","addiscombe is a small town in the london borough of croydon, england.","addiscombe, england is a small town in the london borough of croydon.",addiscombe is a suburb in the london borough of croydon in england.,addiscombe is a suburb in the london borough of croydon.,"addiscombe is a suburb of croydon, england.","addiscombe is a suburb in croydon, england.",addiscombe is a suburb in the london borough of the town of croydon.  croydon is located in england.,"addiscombe is a small city in the london borough of croydon, england.",66.06328636027612
9,"loèche harbours the installations of onyx, the swiss interception system for electronic intelligence gathering.","the installations of onyx, the swiss interception system for electronic intelligence gathering, is harboured by loèche.",Alter sentence structure for awkward phrasing,worse_subtle,"the installation of onyx is located in loèche, switzerland.  onyx is the swiss interception system for electronic intelligence gathering.",loèche harbours the installations of onyx is the swiss interception system for the gathering of artificial intelligence.,onyx is a swiss intelligence system. it is in loeche.,"loeche owns the installations of onyx, the swiss system for electronic intelligence gathering.",loèche has the swiss electronic intelligence gathering system at the onyx installations.,"loèche harbours the installations of onyx, the swiss system for electronic intelligence gathering.","loeche is home to onyx, the swiss spying system for electronic intelligence gathering.","loèche harbours the installations of onyx, which is the swiss interception system for electronic intelligence gathering.",onyx is the swiss electronic intelligence gathering.,loeche has the onyx the swiss system for electronically getting information.,67.23344321937988
