,input,model_output,strategy,group,ref1,ref2,ref3,ref4,ref5,ref6,ref7,ref8,ref9,ref10,BLEU,SARI_P,SARI_F
0,"in 1990, she was the only female entertainer allowed to perform in saudi arabia.","in 1990, she was the only female entertainer who, due to various circumstances, is allowed to perform in saudi arabia.",Add unnecessary clauses to increase sentence length,worse_subtle,she was the only female allowed to perform in saudi arabia in 1990.,in 1990 she was the only woman actor who could act in saudi arabia.,"in 1990, she was the only woman allowed to perform in saudi arabia.","in 1990, she was the only female performer given permission to perform in sudia arabia.","in 1990, she was the only woman allowed to perform in saudi arabia.","in 1990, she was the only female entertainer allowed to perform in saudi arabia.","in 1990, she was the only female performer allowed to perform in saudi arabia.",she was the only female entertainer allowed to perform in saudi arabia in 1990.,she was the only actress allowed to perform in saudi arabia in 1990.,there was only one female entertainer in saudi arabia in 1990.,57.84879107039426,0.4686937713123512,0.3192493268679068
1,"in 1990, she was the only female entertainer allowed to perform in saudi arabia.","in 1990, she was the sole female entertainer permitted to engage in performances within the confines of saudi arabia.",Use complex vocabulary to confuse the audience,worse_subtle,she was the only female allowed to perform in saudi arabia in 1990.,in 1990 she was the only woman actor who could act in saudi arabia.,"in 1990, she was the only woman allowed to perform in saudi arabia.","in 1990, she was the only female performer given permission to perform in sudia arabia.","in 1990, she was the only woman allowed to perform in saudi arabia.","in 1990, she was the only female entertainer allowed to perform in saudi arabia.","in 1990, she was the only female performer allowed to perform in saudi arabia.",she was the only female entertainer allowed to perform in saudi arabia in 1990.,she was the only actress allowed to perform in saudi arabia in 1990.,there was only one female entertainer in saudi arabia in 1990.,32.28213880040185,0.30082178803456083,0.27164476940102045
2,"in 1990, she was the only female entertainer allowed to perform in saudi arabia.","in 1990, she was the only female entertainer who was granted the opportunity to perform in saudi arabia, which was a significant event.",Introduce convoluted sentence structures,worse_subtle,she was the only female allowed to perform in saudi arabia in 1990.,in 1990 she was the only woman actor who could act in saudi arabia.,"in 1990, she was the only woman allowed to perform in saudi arabia.","in 1990, she was the only female performer given permission to perform in sudia arabia.","in 1990, she was the only woman allowed to perform in saudi arabia.","in 1990, she was the only female entertainer allowed to perform in saudi arabia.","in 1990, she was the only female performer allowed to perform in saudi arabia.",she was the only female entertainer allowed to perform in saudi arabia in 1990.,she was the only actress allowed to perform in saudi arabia in 1990.,there was only one female entertainer in saudi arabia in 1990.,45.486727739500964,0.4216403243437339,0.3231980585485269
3,"in december, 1967, ten boom was honored as one of the righteous among the nations by the state of israel.","in december, 1967, it is noted that ten boom was recognized as one of the individuals deemed righteous among the nations by the state of israel.",Add unnecessary clauses to increase sentence length,worse_subtle,"in 1967, ten boom was honored as one of the righteous among the nations by the state of israel.",ten boom was honored in 1967 as one of the righteous among the nations by israel.,"ten boom was given an honor as one of the righteous among the nations by the state of israel in december, 1967.",ten boom was honored by the state of israel in december of 1967.,the righteous among the nations honored ten boom in 1967.,"in december 1967, the state of israel gave ten boom an award. ten boom was given a righteous among the nations award.","in december, 1967, ten boom was given an award for an honest among the countries by the state of israel.","in december, 1967, ten boom was called one of the righteous among the nations by the state of israel.","in december, 1967, ten boom was given the righteous among the nations award by israel.",ten boom was honored as one of the righteous among the nations by israel.,55.84477172924733,0.4082046029952662,0.29663434155735763
4,"in december, 1967, ten boom was honored as one of the righteous among the nations by the state of israel.","in december, 1967, ten boom was acknowledged as one of the esteemed righteous among the nations by the state of israel, which is a significant honor.",Use complex vocabulary to confuse the audience,worse_subtle,"in 1967, ten boom was honored as one of the righteous among the nations by the state of israel.",ten boom was honored in 1967 as one of the righteous among the nations by israel.,"ten boom was given an honor as one of the righteous among the nations by the state of israel in december, 1967.",ten boom was honored by the state of israel in december of 1967.,the righteous among the nations honored ten boom in 1967.,"in december 1967, the state of israel gave ten boom an award. ten boom was given a righteous among the nations award.","in december, 1967, ten boom was given an award for an honest among the countries by the state of israel.","in december, 1967, ten boom was called one of the righteous among the nations by the state of israel.","in december, 1967, ten boom was given the righteous among the nations award by israel.",ten boom was honored as one of the righteous among the nations by israel.,58.63795298582237,0.42916301854921374,0.31177750137938287
5,"in december, 1967, ten boom was honored as one of the righteous among the nations by the state of israel.","in december of the year 1967, it was the case that ten boom was recognized as one of the righteous among the nations, a designation given by the state of israel.",Introduce convoluted sentence structures,worse_subtle,"in 1967, ten boom was honored as one of the righteous among the nations by the state of israel.",ten boom was honored in 1967 as one of the righteous among the nations by israel.,"ten boom was given an honor as one of the righteous among the nations by the state of israel in december, 1967.",ten boom was honored by the state of israel in december of 1967.,the righteous among the nations honored ten boom in 1967.,"in december 1967, the state of israel gave ten boom an award. ten boom was given a righteous among the nations award.","in december, 1967, ten boom was given an award for an honest among the countries by the state of israel.","in december, 1967, ten boom was called one of the righteous among the nations by the state of israel.","in december, 1967, ten boom was given the righteous among the nations award by israel.",ten boom was honored as one of the righteous among the nations by israel.,43.31184824551092,0.4401231775415378,0.34152615883560866
6,"addiscombe is a suburb in the london borough of croydon, england.","addiscombe, which is known for its residential areas, is a suburb of croydon, england.",Add unnecessary clauses to increase sentence length,worse_subtle,"addiscombe is a small town in croydon, england.","addiscombe is a suburb of croydon, england. it is in the london borough.","addiscombe is a small town in the london borough of croydon, england.","addiscombe, england is a small town in the london borough of croydon.",addiscombe is a suburb in the london borough of croydon in england.,addiscombe is a suburb in the london borough of croydon.,"addiscombe is a suburb of croydon, england.","addiscombe is a suburb in croydon, england.",addiscombe is a suburb in the london borough of the town of croydon.  croydon is located in england.,"addiscombe is a small city in the london borough of croydon, england.",42.51768826212765,0.3150912518491185,0.28961131239859084
7,"addiscombe is a suburb in the london borough of croydon, england.",addiscombe is a suburban locality that is part of the croydon area in the country of england.,Use complex vocabulary to confuse the audience,worse_subtle,"addiscombe is a small town in croydon, england.","addiscombe is a suburb of croydon, england. it is in the london borough.","addiscombe is a small town in the london borough of croydon, england.","addiscombe, england is a small town in the london borough of croydon.",addiscombe is a suburb in the london borough of croydon in england.,addiscombe is a suburb in the london borough of croydon.,"addiscombe is a suburb of croydon, england.","addiscombe is a suburb in croydon, england.",addiscombe is a suburb in the london borough of the town of croydon.  croydon is located in england.,"addiscombe is a small city in the london borough of croydon, england.",14.216645907653843,0.2658309144988689,0.25184941719500314
8,"addiscombe is a suburb in the london borough of croydon, england.","addiscombe, a suburb that is situated within the boundaries of croydon, is located in england.",Introduce convoluted sentence structures,worse_subtle,"addiscombe is a small town in croydon, england.","addiscombe is a suburb of croydon, england. it is in the london borough.","addiscombe is a small town in the london borough of croydon, england.","addiscombe, england is a small town in the london borough of croydon.",addiscombe is a suburb in the london borough of croydon in england.,addiscombe is a suburb in the london borough of croydon.,"addiscombe is a suburb of croydon, england.","addiscombe is a suburb in croydon, england.",addiscombe is a suburb in the london borough of the town of croydon.  croydon is located in england.,"addiscombe is a small city in the london borough of croydon, england.",32.62478546610939,0.30234654508833253,0.2830477773356174
9,"loèche harbours the installations of onyx, the swiss interception system for electronic intelligence gathering.","loèche harbours, in a manner that is somewhat redundant, the installations of onyx, which is known as the swiss interception system for electronic intelligence gathering.",Add unnecessary clauses to increase sentence length,worse_subtle,"the installation of onyx is located in loèche, switzerland.  onyx is the swiss interception system for electronic intelligence gathering.",loèche harbours the installations of onyx is the swiss interception system for the gathering of artificial intelligence.,onyx is a swiss intelligence system. it is in loeche.,"loeche owns the installations of onyx, the swiss system for electronic intelligence gathering.",loèche has the swiss electronic intelligence gathering system at the onyx installations.,"loèche harbours the installations of onyx, the swiss system for electronic intelligence gathering.","loeche is home to onyx, the swiss spying system for electronic intelligence gathering.","loèche harbours the installations of onyx, which is the swiss interception system for electronic intelligence gathering.",onyx is the swiss electronic intelligence gathering.,loeche has the onyx the swiss system for electronically getting information.,51.571153508210266,0.42653389120966584,0.31419592824670284
