,example_id,duration_milliseconds,cpu_ram_mb,gpu_ram_mb,disk_usage_change_mb,baseline_cpu_ram_mb,baseline_gpu_ram_mb,total_cpu_ram_mb,total_gpu_ram_mb
0,0,1349.9360084533691,0.0,0,0.0,1342.73828125,0.0,1342.38671875,0.0
1,1,1377.17866897583,1.015625,0,0.0,1342.38671875,0.0,1343.40234375,0.0
2,2,1453.3226490020752,0.8359375,0,0.01953125,1343.40234375,0.0,1344.23828125,0.0
3,3,1319.0584182739258,0.0,0,0.0,1344.23828125,0.0,1343.59375,0.0
4,4,1542.5302982330322,6.8515625,0,0.0,1343.625,0.0,1350.4765625,0.0
5,5,1382.9915523529053,1.0546875,0,-0.01953125,1349.5078125,0.0,1350.5625,0.0
6,6,1406.8763256072998,0.0,0,0.0,1350.5625,0.0,1349.34765625,0.0
7,7,1394.5343494415283,0.52734375,0,0.0,1349.34765625,0.0,1349.875,0.0
8,8,1464.6575450897217,0.6015625,0,0.0,1349.875,0.0,1350.4765625,0.0
9,9,141270.28155326843,0.0,0,-0.01953125,1350.4765625,0.0,1350.265625,0.0
10,10,1437.0372295379639,1.16015625,0,0.01953125,1349.265625,0.0,1350.42578125,0.0
11,11,1480.309247970581,0.0,0,0.0,1350.42578125,0.0,1348.95703125,0.0
12,12,1443.540096282959,0.0,0,0.0,1348.95703125,0.0,1348.01953125,0.0
13,13,1449.1546154022217,1.76171875,0,-0.01953125,1348.01953125,0.0,1349.78125,0.0
14,14,1354.4447422027588,0.875,0,0.0,1349.78125,0.0,1350.65625,0.0
15,15,1378.4794807434082,0.13671875,0,0.0,1350.65625,0.0,1350.79296875,0.0
16,16,1355.8135032653809,0.0,0,0.0,1350.79296875,0.0,1350.77734375,0.0
17,17,1493.5123920440674,1.10546875,0,0.0,1350.77734375,0.0,1351.8828125,0.0
18,18,1608.1159114837646,0.0,0,0.0,1351.8828125,0.0,1350.53125,0.0
19,19,1357.9552173614502,1.24609375,0,0.0,1350.53125,0.0,1351.77734375,0.0
20,20,1431.760311126709,13.671875,0,0.0,1351.77734375,0.0,1365.44921875,0.0
21,21,1496.490478515625,1.953125,0,0.0,1365.44921875,0.0,1367.40234375,0.0
22,22,1548.9590167999268,0.66015625,0,0.0,1367.40234375,0.0,1368.0625,0.0
23,23,1830.1479816436768,0.0,0,0.0,1368.0625,0.0,1367.99609375,0.0
24,24,1381.6516399383545,0.015625,0,0.0,1367.99609375,0.0,1368.01171875,0.0
25,25,1720.1039791107178,4.46484375,0,0.0,1367.04296875,0.0,1371.5078125,0.0
26,26,1423.490047454834,1.48046875,0,0.0,1371.5078125,0.0,1372.98828125,0.0
27,27,1823.4989643096924,0.0,0,0.0,1372.98828125,0.0,1371.85546875,0.0
28,28,1525.5908966064453,1.1484375,0,0.0,1371.85546875,0.0,1373.00390625,0.0
29,29,1421.1080074310303,0.8828125,0,0.0,1372.03515625,0.0,1372.91796875,0.0
30,30,1434.8840713500977,0.0,0,0.0,1371.94921875,0.0,1371.31640625,0.0
31,31,1629.2295455932617,1.34375,0,0.0,1370.34765625,0.0,1371.69140625,0.0
32,32,1570.5528259277344,0.61328125,0,0.0,1371.69140625,0.0,1372.3046875,0.0
33,33,1496.2232112884521,0.0,0,0.0,1372.3046875,0.0,1372.1953125,0.0
34,34,1674.126386642456,2.046875,0,0.0,1371.2265625,0.0,1373.2734375,0.0
35,35,1460.49165725708,2.26953125,0,0.0,1371.2734375,0.0,1373.54296875,0.0
36,36,1441.622257232666,0.0,0,0.0,1373.54296875,0.0,1372.078125,0.0
37,37,1450.3412246704102,1.2265625,0,0.0,1372.078125,0.0,1373.3046875,0.0
38,38,1456.3448429107666,0.0,0,0.0,1373.3046875,0.0,1371.953125,0.0
39,39,1463.9949798583984,1.16796875,0,0.0,1371.953125,0.0,1373.12109375,0.0
40,40,1487.1728420257568,0.0,0,0.0,1372.12109375,0.0,1371.6328125,0.0
41,41,1440.4675960540771,1.48046875,0,0.0,1370.6328125,0.0,1372.11328125,0.0
42,42,1361.760139465332,1.453125,0,0.0,1372.11328125,0.0,1373.56640625,0.0
43,43,1348.0865955352783,1.03125,0,0.0,1372.59765625,0.0,1373.62890625,0.0
44,44,1480.0117015838623,0.203125,0,0.0,1372.66015625,0.0,1372.86328125,0.0
45,45,1370.7702159881592,3.1875,0,0.0,1370.86328125,0.0,1374.05078125,0.0
46,46,1443.3119297027588,0.0,0,0.0,1373.05078125,0.0,1371.88671875,0.0
47,47,1444.0290927886963,1.80078125,0,0.0,1371.88671875,0.0,1373.6875,0.0
48,48,1368.7138557434082,1.1875,0,0.0,1372.71875,0.0,1373.90625,0.0
49,49,1533.4014892578125,0.85546875,0,0.0,1372.90625,0.0,1373.76171875,0.0
