,example_id,duration_milliseconds,cpu_ram_mb,gpu_ram_mb,disk_usage_change_mb,baseline_cpu_ram_mb,baseline_gpu_ram_mb,total_cpu_ram_mb,total_gpu_ram_mb
0,0,1155.8208465576172,25.63671875,0,0.0,1161.5078125,0.0,1187.14453125,0.0
1,1,1183.2053661346436,43.28125,0,0.0,1187.14453125,0.0,1230.42578125,0.0
2,2,1525.2983570098877,31.5703125,0,0.0,1230.42578125,0.0,1261.99609375,0.0
3,3,1269.6151733398438,76.80859375,0,0.0,1261.99609375,0.0,1338.8046875,0.0
4,4,1213.5944366455078,0.0,0,0.0,1338.8046875,0.0,1315.26171875,0.0
5,5,1311.3484382629395,52.765625,0,0.0,1314.29296875,0.0,1367.05859375,0.0
6,6,1321.887493133545,57.15234375,0,0.0,1367.05859375,0.0,1424.2109375,0.0
7,7,1350.2509593963623,14.12890625,0,0.0,1424.2109375,0.0,1438.33984375,0.0
8,8,1282.9225063323975,0.0,0,0.0,1438.33984375,0.0,1438.20703125,0.0
9,9,1241.7786121368408,0.0,0,0.0,1438.20703125,0.0,1436.1171875,0.0
10,10,1296.7145442962646,0.40234375,0,0.0,1436.1171875,0.0,1436.51953125,0.0
11,11,1237.610101699829,6.109375,0,0.0,1436.51953125,0.0,1442.62890625,0.0
12,12,1213.137149810791,4.8125,0,0.0,1442.62890625,0.0,1447.44140625,0.0
13,13,1213.559627532959,0.0,0,0.0,1447.44140625,0.0,1447.0703125,0.0
14,14,1213.721752166748,0.0,0,0.0,1447.0703125,0.0,1445.7578125,0.0
15,15,1272.9761600494385,0.0,0,0.0,1445.7578125,0.0,1445.34765625,0.0
16,16,1387.7122402191162,21.01171875,0,0.0,1445.34765625,0.0,1466.359375,0.0
17,17,1303.4725189208984,61.05078125,0,0.0,1466.359375,0.0,1527.41015625,0.0
18,18,1328.0868530273438,5.5546875,0,0.0,1527.41015625,0.0,1532.96484375,0.0
19,19,1355.1080226898193,0.94921875,0,0.0,1532.96484375,0.0,1533.9140625,0.0
20,20,1415.1439666748047,9.9296875,0,0.0,1533.9140625,0.0,1543.84375,0.0
21,21,1833.648443222046,1.29296875,0,0.0,1543.84375,0.0,1545.13671875,0.0
22,22,1167.7072048187256,4.9765625,0,0.01953125,1545.13671875,0.0,1550.11328125,0.0
23,23,1363.0647659301758,51.23046875,0,0.0,1550.11328125,0.0,1601.34375,0.0
24,24,1443.0863857269287,8.91015625,0,0.0,1601.34375,0.0,1610.25390625,0.0
25,25,1273.9708423614502,20.58984375,0,-0.01953125,1610.28515625,0.0,1630.875,0.0
26,26,1286.4699363708496,43.29296875,0,0.0,1630.875,0.0,1674.16796875,0.0
27,27,1246.9415664672852,11.78125,0,0.0,1674.16796875,0.0,1685.94921875,0.0
28,28,1276.366949081421,37.33984375,0,0.0,1685.94921875,0.0,1723.2890625,0.0
29,29,1222.5477695465088,0.23828125,0,0.0,1723.2890625,0.0,1723.52734375,0.0
30,30,1272.749900817871,0.46484375,0,0.0,1723.52734375,0.0,1723.9921875,0.0
31,31,1478.8939952850342,20.33203125,0,0.0,1723.0234375,0.0,1743.35546875,0.0
32,32,1336.7090225219727,0.73046875,0,0.0,1743.35546875,0.0,1744.0859375,0.0
33,33,1296.4391708374023,17.37109375,0,0.0,1744.0859375,0.0,1761.45703125,0.0
34,34,1371.3207244873047,9.25390625,0,0.0,1760.50390625,0.0,1769.7578125,0.0
35,35,1280.5426120758057,0.0,0,0.0,1769.7578125,0.0,1769.37890625,0.0
36,36,1256.9997310638428,0.5703125,0,0.0,1769.37890625,0.0,1769.94921875,0.0
37,37,1271.9953060150146,2.25390625,0,0.0,1769.94921875,0.0,1772.203125,0.0
38,38,1122.922658920288,4.01953125,0,0.0,1771.234375,0.0,1775.25390625,0.0
39,39,1277.3585319519043,0.0,0,0.0,1775.25390625,0.0,1774.578125,0.0
40,40,1244.891881942749,0.48828125,0,0.0,1774.578125,0.0,1775.06640625,0.0
41,41,1724.471092224121,6.18359375,0,0.0,1774.11328125,0.0,1780.296875,0.0
42,42,1098.2697010040283,0.0,0,0.0,1780.296875,0.0,1778.02734375,0.0
43,43,1267.765760421753,16.69921875,0,0.0,1778.02734375,0.0,1794.7265625,0.0
44,44,1286.170244216919,38.17578125,0,0.0,1793.7734375,0.0,1831.94921875,0.0
45,45,1207.9684734344482,1.65234375,0,0.0,1830.99609375,0.0,1832.6484375,0.0
46,46,1608.591079711914,4.734375,0,0.0,1832.6484375,0.0,1837.3828125,0.0
47,47,1331.1102390289307,14.8203125,0,0.0,1837.3828125,0.0,1852.203125,0.0
48,48,1356.4081192016602,28.8046875,0,0.0,1851.25,0.0,1880.0546875,0.0
49,49,1625.5178451538086,5.13671875,0,0.0,1880.0546875,0.0,1885.19140625,0.0
