,example_id,duration_milliseconds,cpu_ram_mb,gpu_ram_mb,disk_usage_change_mb,baseline_cpu_ram_mb,baseline_gpu_ram_mb,total_cpu_ram_mb,total_gpu_ram_mb
0,0,879.2624473571777,3.45703125,0,0.0,815.68359375,0.0,819.140625,0.0
1,1,1243.1161403656006,0.0,0,0.0,819.140625,0.0,818.0625,0.0
2,2,849.320650100708,4.01171875,0,0.01953125,818.0625,0.0,822.07421875,0.0
3,3,863.7592792510986,4.78125,0,0.0,822.07421875,0.0,826.85546875,0.0
4,4,863.3050918579102,0.0,0,0.0,826.85546875,0.0,825.5078125,0.0
5,5,880.955696105957,1.796875,0,0.0,824.5078125,0.0,826.3046875,0.0
6,6,889.946460723877,0.1796875,0,0.0,826.3046875,0.0,826.484375,0.0
7,7,874.7608661651611,0.04296875,0,-0.01953125,826.484375,0.0,826.52734375,0.0
8,8,887.8419399261475,1.06640625,0,0.0,826.52734375,0.0,827.59375,0.0
9,9,946.190595626831,0.0,0,0.0,827.59375,0.0,826.8203125,0.0
10,10,928.9448261260986,2.01171875,0,0.0,826.8203125,0.0,828.83203125,0.0
11,11,881.9429874420166,0.0,0,0.0,828.83203125,0.0,827.25390625,0.0
12,12,872.859001159668,0.0,0,0.0,827.25390625,0.0,826.5546875,0.0
13,13,945.8770751953125,0.10546875,0,0.0,826.5546875,0.0,826.66015625,0.0
14,14,1046.083927154541,1.26953125,0,0.0,826.66015625,0.0,827.9296875,0.0
15,15,886.3341808319092,2.32421875,0,0.0,827.9296875,0.0,830.25390625,0.0
16,16,875.4799365997314,0.1953125,0,0.0,830.25390625,0.0,830.44921875,0.0
17,17,886.4352703094482,1.2734375,0,0.0,830.44921875,0.0,831.72265625,0.0
18,18,924.7794151306152,0.0,0,0.0,831.72265625,0.0,830.828125,0.0
19,19,891.5061950683594,0.65234375,0,0.0,830.828125,0.0,831.48046875,0.0
20,20,882.9238414764404,0.0,0,0.0,831.48046875,0.0,830.9921875,0.0
21,21,1758.2757472991943,0.0,0,0.0,830.9921875,0.0,830.15234375,0.0
22,22,945.3082084655762,1.140625,0,-0.87109375,830.15234375,0.0,831.29296875,0.0
23,23,1032.0956707000732,0.0,0,0.0,831.29296875,0.0,830.96484375,0.0
24,24,909.365177154541,0.18359375,0,0.0,830.99609375,0.0,831.1796875,0.0
25,25,897.9110717773438,0.80859375,0,0.0,831.1796875,0.0,831.98828125,0.0
26,26,1061.8314743041992,0.0,0,0.01953125,831.98828125,0.0,831.109375,0.0
27,27,926.9027709960938,12.65625,0,0.0,831.109375,0.0,843.765625,0.0
28,28,985.1653575897217,0.57421875,0,0.0,843.765625,0.0,844.33984375,0.0
29,29,900.9866714477539,0.0,0,-0.01953125,844.33984375,0.0,844.04296875,0.0
30,30,905.4501056671143,0.3125,0,-0.01953125,844.04296875,0.0,844.35546875,0.0
31,31,928.4641742706299,8.0078125,0,0.01953125,844.35546875,0.0,852.36328125,0.0
32,32,932.7373504638672,0.0,0,0.0,852.36328125,0.0,851.484375,0.0
33,33,1036.0469818115234,0.78125,0,0.0,851.484375,0.0,852.265625,0.0
34,34,917.3851013183594,0.0,0,0.0,852.265625,0.0,852.09765625,0.0
35,35,1953.0062675476074,0.00390625,0,-0.01953125,852.09765625,0.0,852.1015625,0.0
36,36,924.3428707122803,0.38671875,0,0.0,852.1015625,0.0,852.48828125,0.0
37,37,944.0350532531738,0.3203125,0,0.0,852.48828125,0.0,852.80859375,0.0
38,38,987.5273704528809,0.2890625,0,0.0,852.80859375,0.0,853.09765625,0.0
39,39,979.4862270355225,0.0,0,0.0,853.09765625,0.0,852.0078125,0.0
40,40,948.3323097229004,0.0,0,0.0,852.0078125,0.0,851.65625,0.0
41,41,950.5293369293213,1.92578125,0,0.0,851.65625,0.0,853.58203125,0.0
42,42,932.2829246520996,0.0,0,0.0,853.58203125,0.0,852.3125,0.0
43,43,951.718807220459,0.12109375,0,0.0,852.3125,0.0,852.43359375,0.0
44,44,940.1791095733643,0.03515625,0,0.0,852.43359375,0.0,852.46875,0.0
45,45,943.1171417236328,0.34375,0,0.0,852.46875,0.0,852.8125,0.0
46,46,942.4502849578857,0.0,0,0.0,852.8125,0.0,852.2265625,0.0
47,47,1049.7703552246094,0.6640625,0,0.0,852.2265625,0.0,852.890625,0.0
48,48,1913.6946201324463,0.1015625,0,0.01953125,852.890625,0.0,852.9921875,0.0
49,49,946.2082386016846,0.0,0,0.0,852.9921875,0.0,851.68359375,0.0
