,example_id,duration_milliseconds,cpu_ram_mb,gpu_ram_mb,disk_usage_change_mb,baseline_cpu_ram_mb,baseline_gpu_ram_mb,total_cpu_ram_mb,total_gpu_ram_mb
0,0,4.055023193359375,0.0,0,0.0,592.10546875,0.0,592.10546875,0.0
1,1,8.969783782958984,0.0,0,0.0,592.2265625,0.0,592.2265625,0.0
2,2,6.494283676147461,0.0,0,0.0,592.2265625,0.0,592.2265625,0.0
3,3,8.649826049804688,0.01171875,0,0.0,592.2265625,0.0,592.23828125,0.0
4,4,4.486560821533203,0.0,0,0.0,592.23828125,0.0,592.23828125,0.0
5,5,6.781578063964844,0.0,0,0.0,592.23828125,0.0,592.23828125,0.0
6,6,6.423234939575195,0.0,0,0.0,592.23828125,0.0,592.23828125,0.0
7,7,5.980014801025391,0.0,0,0.0,592.23828125,0.0,592.23828125,0.0
8,8,4.038333892822266,0.0,0,0.0,592.23828125,0.0,592.23828125,0.0
9,9,9.59634780883789,0.0,0,0.0,592.23828125,0.0,592.23828125,0.0
10,10,9.603261947631836,0.0703125,0,0.0,592.23828125,0.0,592.30859375,0.0
11,11,4.436492919921875,0.0,0,0.0,592.30859375,0.0,592.30859375,0.0
12,12,9.533166885375977,0.0703125,0,0.0,592.30859375,0.0,592.37890625,0.0
13,13,9.746074676513672,0.0,0,0.0,592.37890625,0.0,592.37890625,0.0
14,14,9.74416732788086,0.16796875,0,0.0,592.37890625,0.0,592.546875,0.0
15,15,9.466171264648438,0.0,0,0.0,592.546875,0.0,592.546875,0.0
16,16,6.642580032348633,0.0,0,0.0,592.546875,0.0,592.546875,0.0
17,17,9.488105773925781,0.0,0,0.0,592.71875,0.0,592.71875,0.0
18,18,6.658792495727539,0.0,0,0.0,592.79296875,0.0,592.79296875,0.0
19,19,4.119634628295898,0.0,0,0.0,592.79296875,0.0,592.79296875,0.0
20,20,6.152868270874023,0.0,0,0.0,592.79296875,0.0,592.79296875,0.0
21,21,3.7925243377685547,0.0,0,0.0,592.79296875,0.0,592.79296875,0.0
22,22,9.283781051635742,0.0,0,0.0,592.79296875,0.0,592.79296875,0.0
23,23,10.151863098144531,0.19140625,0,0.0,592.79296875,0.0,592.984375,0.0
24,24,3.5889148712158203,0.0,0,0.0,592.984375,0.0,592.984375,0.0
25,25,10.568618774414062,0.00390625,0,0.0,593.05078125,0.0,593.0546875,0.0
26,26,9.356498718261719,0.22265625,0,0.0,593.0546875,0.0,593.27734375,0.0
27,27,9.502410888671875,0.0,0,0.0,593.27734375,0.0,593.27734375,0.0
28,28,3.414630889892578,0.0,0,0.0,593.27734375,0.0,593.27734375,0.0
29,29,9.927749633789062,0.0,0,0.0,593.27734375,0.0,593.27734375,0.0
30,30,3.8139820098876953,0.0,0,0.0,593.27734375,0.0,593.27734375,0.0
31,31,3.7643909454345703,0.0,0,0.0,593.27734375,0.0,593.27734375,0.0
32,32,3.2749176025390625,0.0,0,0.0,593.27734375,0.0,593.27734375,0.0
33,33,6.873130798339844,0.16015625,0,0.0,593.27734375,0.0,593.4375,0.0
34,34,6.512880325317383,0.0,0,0.0,593.4375,0.0,593.4375,0.0
35,35,6.472349166870117,0.01953125,0,0.0,593.625,0.0,593.64453125,0.0
36,36,7.111310958862305,0.0,0,0.0,593.64453125,0.0,593.64453125,0.0
37,37,4.084110260009766,0.0,0,0.0,593.64453125,0.0,593.64453125,0.0
38,38,6.231546401977539,0.140625,0,0.0,593.64453125,0.0,593.78515625,0.0
39,39,4.225969314575195,0.0,0,0.0,593.78515625,0.0,593.78515625,0.0
40,40,6.237268447875977,0.0,0,0.0,593.78515625,0.0,593.78515625,0.0
41,41,7.45391845703125,0.21875,0,0.0,593.78515625,0.0,594.00390625,0.0
42,42,9.175539016723633,0.08203125,0,0.0,594.00390625,0.0,594.0859375,0.0
43,43,4.441261291503906,0.0,0,0.0,594.0859375,0.0,594.0859375,0.0
44,44,3.893136978149414,0.0,0,0.0,594.0859375,0.0,594.0859375,0.0
45,45,6.608247756958008,0.00390625,0,0.0,594.0859375,0.0,594.08984375,0.0
46,46,6.935834884643555,0.0,0,0.0,594.08984375,0.0,594.08984375,0.0
47,47,6.748676300048828,0.17578125,0,0.0,594.08984375,0.0,594.265625,0.0
48,48,6.060361862182617,0.0,0,0.0,594.265625,0.0,594.265625,0.0
49,49,10.204315185546875,0.21875,0,0.0,594.265625,0.0,594.484375,0.0
