,example_id,duration_milliseconds,cpu_ram_mb,gpu_ram_mb,disk_usage_change_mb,baseline_cpu_ram_mb,baseline_gpu_ram_mb,total_cpu_ram_mb,total_gpu_ram_mb
0,0,0.5009174346923828,0,0,0.0,588.30078125,0.0,588.30078125,0.0
1,1,0.8807182312011719,0,0,0.0,588.30078125,0.0,588.30078125,0.0
2,2,0.7085800170898438,0,0,0.0,588.30078125,0.0,588.30078125,0.0
3,3,0.54168701171875,0,0,0.0,588.421875,0.0,588.421875,0.0
4,4,0.45990943908691406,0,0,0.0,588.421875,0.0,588.421875,0.0
5,5,1.1057853698730469,0,0,0.0,588.421875,0.0,588.421875,0.0
6,6,0.5235671997070312,0,0,0.0,588.421875,0.0,588.421875,0.0
7,7,0.7827281951904297,0,0,0.0,588.421875,0.0,588.421875,0.0
8,8,0.4680156707763672,0,0,0.0,588.421875,0.0,588.421875,0.0
9,9,0.7364749908447266,0,0,0.0,588.421875,0.0,588.421875,0.0
10,10,0.5636215209960938,0,0,0.0,588.421875,0.0,588.421875,0.0
11,11,0.5104541778564453,0,0,0.0,588.4375,0.0,588.4375,0.0
12,12,1.1055469512939453,0,0,0.0,588.4375,0.0,588.4375,0.0
13,13,1.0573863983154297,0,0,0.0,588.4375,0.0,588.4375,0.0
14,14,0.5071163177490234,0,0,0.0,588.4375,0.0,588.4375,0.0
15,15,0.8246898651123047,0,0,0.0,588.4375,0.0,588.4375,0.0
16,16,0.5478858947753906,0,0,0.0,588.4375,0.0,588.4375,0.0
17,17,0.5364418029785156,0,0,0.0,588.4375,0.0,588.4375,0.0
18,18,0.4565715789794922,0,0,0.0,588.4375,0.0,588.4375,0.0
19,19,0.4973411560058594,0,0,0.0,588.4375,0.0,588.4375,0.0
20,20,0.5216598510742188,0,0,0.0,588.4453125,0.0,588.4453125,0.0
21,21,0.5016326904296875,0,0,0.0,588.4453125,0.0,588.4453125,0.0
22,22,1.1146068572998047,0,0,0.0,588.4453125,0.0,588.4453125,0.0
23,23,0.5338191986083984,0,0,0.0,588.4453125,0.0,588.4453125,0.0
24,24,1.0635852813720703,0,0,0.0,588.4453125,0.0,588.4453125,0.0
25,25,1.1606216430664062,0,0,0.0,588.4453125,0.0,588.4453125,0.0
26,26,1.1136531829833984,0,0,0.0,588.4453125,0.0,588.4453125,0.0
27,27,0.5276203155517578,0,0,0.0,588.4453125,0.0,588.4453125,0.0
28,28,0.9105205535888672,0,0,0.0,588.453125,0.0,588.453125,0.0
29,29,0.9829998016357422,0,0,0.0,588.453125,0.0,588.453125,0.0
30,30,1.0471343994140625,0,0,0.0,588.453125,0.0,588.453125,0.0
31,31,1.0800361633300781,0,0,0.0,588.453125,0.0,588.453125,0.0
32,32,1.0998249053955078,0,0,0.0,588.453125,0.0,588.453125,0.0
33,33,0.49877166748046875,0,0,0.0,588.453125,0.0,588.453125,0.0
34,34,0.8602142333984375,0,0,0.0,588.453125,0.0,588.453125,0.0
35,35,0.54168701171875,0,0,0.0,588.453125,0.0,588.453125,0.0
36,36,0.4947185516357422,0,0,0.0,588.453125,0.0,588.453125,0.0
37,37,0.5137920379638672,0,0,0.0,588.453125,0.0,588.453125,0.0
38,38,0.8091926574707031,0,0,0.0,588.453125,0.0,588.453125,0.0
39,39,0.5173683166503906,0,0,0.0,588.453125,0.0,588.453125,0.0
40,40,1.0900497436523438,0,0,0.0,588.4609375,0.0,588.4609375,0.0
41,41,1.0216236114501953,0,0,0.0,588.4609375,0.0,588.4609375,0.0
42,42,0.457763671875,0,0,0.0,588.4609375,0.0,588.4609375,0.0
43,43,0.5002021789550781,0,0,0.0,588.4609375,0.0,588.4609375,0.0
44,44,0.7345676422119141,0,0,0.0,588.4609375,0.0,588.4609375,0.0
45,45,0.8473396301269531,0,0,0.0,588.4609375,0.0,588.4609375,0.0
46,46,1.0864734649658203,0,0,0.0,588.4609375,0.0,588.4609375,0.0
47,47,1.0123252868652344,0,0,0.0,588.4609375,0.0,588.4609375,0.0
48,48,1.150369644165039,0,0,0.0,588.4609375,0.0,588.4609375,0.0
49,49,0.8192062377929688,0,0,0.0,588.4609375,0.0,588.4609375,0.0
