,example_id,duration_milliseconds,cpu_ram_mb,gpu_ram_mb,disk_usage_change_mb,baseline_cpu_ram_mb,baseline_gpu_ram_mb,total_cpu_ram_mb,total_gpu_ram_mb
0,0,0.1728534698486328,0,0,0.0,588.03125,0.0,588.03125,0.0
1,1,0.17881393432617188,0,0,0.0,588.03125,0.0,588.03125,0.0
2,2,0.15783309936523438,0,0,0.0,588.03125,0.0,588.03125,0.0
3,3,0.1652240753173828,0,0,0.0,588.15234375,0.0,588.15234375,0.0
4,4,0.2472400665283203,0,0,0.0,588.15234375,0.0,588.15234375,0.0
5,5,0.2415180206298828,0,0,0.0,588.15234375,0.0,588.15234375,0.0
6,6,0.18596649169921875,0,0,0.0,588.15234375,0.0,588.15234375,0.0
7,7,0.1990795135498047,0,0,0.0,588.15234375,0.0,588.15234375,0.0
8,8,0.194549560546875,0,0,0.0,588.15234375,0.0,588.15234375,0.0
9,9,0.12922286987304688,0,0,0.0,588.15234375,0.0,588.15234375,0.0
10,10,0.2257823944091797,0,0,0.0,588.15234375,0.0,588.15234375,0.0
11,11,0.15115737915039062,0,0,0.0,588.15625,0.0,588.15625,0.0
12,12,0.21839141845703125,0,0,0.0,588.15625,0.0,588.15625,0.0
13,13,0.1709461212158203,0,0,0.0,588.15625,0.0,588.15625,0.0
14,14,0.1316070556640625,0,0,0.0,588.15625,0.0,588.15625,0.0
15,15,0.22459030151367188,0,0,0.0,588.15625,0.0,588.15625,0.0
16,16,0.18405914306640625,0,0,0.0,588.15625,0.0,588.15625,0.0
17,17,0.19478797912597656,0,0,0.0,588.15625,0.0,588.15625,0.0
18,18,0.1437664031982422,0,0,0.0,588.15625,0.0,588.15625,0.0
19,19,0.14472007751464844,0,0,0.0,588.15625,0.0,588.15625,0.0
20,20,0.13947486877441406,0,0,0.0,588.1640625,0.0,588.1640625,0.0
21,21,0.2219676971435547,0,0,0.0,588.1640625,0.0,588.1640625,0.0
22,22,0.11229515075683594,0,0,0.0,588.1640625,0.0,588.1640625,0.0
23,23,0.19025802612304688,0,0,0.0,588.1640625,0.0,588.1640625,0.0
24,24,0.21839141845703125,0,0,0.0,588.1640625,0.0,588.1640625,0.0
25,25,0.1671314239501953,0,0,0.0,588.1640625,0.0,588.1640625,0.0
26,26,0.1647472381591797,0,0,0.0,588.1640625,0.0,588.1640625,0.0
27,27,0.13566017150878906,0,0,0.0,588.1640625,0.0,588.1640625,0.0
28,28,0.22363662719726562,0,0,0.0,588.16796875,0.0,588.16796875,0.0
29,29,0.20599365234375,0,0,0.0,588.16796875,0.0,588.16796875,0.0
30,30,0.14925003051757812,0,0,0.0,588.16796875,0.0,588.16796875,0.0
31,31,0.13828277587890625,0,0,0.0,588.16796875,0.0,588.16796875,0.0
32,32,0.18167495727539062,0,0,0.0,588.16796875,0.0,588.16796875,0.0
33,33,0.20313262939453125,0,0,0.0,588.16796875,0.0,588.16796875,0.0
34,34,0.16164779663085938,0,0,0.0,588.16796875,0.0,588.16796875,0.0
35,35,0.24080276489257812,0,0,0.0,588.16796875,0.0,588.16796875,0.0
36,36,0.1659393310546875,0,0,0.0,588.16796875,0.0,588.16796875,0.0
37,37,0.1533031463623047,0,0,0.0,588.16796875,0.0,588.16796875,0.0
38,38,0.15163421630859375,0,0,0.0,588.16796875,0.0,588.16796875,0.0
39,39,0.13828277587890625,0,0,0.0,588.17578125,0.0,588.17578125,0.0
40,40,0.19669532775878906,0,0,0.0,588.1796875,0.0,588.1796875,0.0
41,41,0.20956993103027344,0,0,0.0,588.1796875,0.0,588.1796875,0.0
42,42,0.2002716064453125,0,0,0.0,588.1796875,0.0,588.1796875,0.0
43,43,0.171661376953125,0,0,0.0,588.1796875,0.0,588.1796875,0.0
44,44,0.12874603271484375,0,0,0.0,588.1796875,0.0,588.1796875,0.0
45,45,0.20694732666015625,0,0,0.0,588.1796875,0.0,588.1796875,0.0
46,46,0.1742839813232422,0,0,0.0,588.1796875,0.0,588.1796875,0.0
47,47,0.13017654418945312,0,0,0.0,588.1796875,0.0,588.1796875,0.0
48,48,0.22554397583007812,0,0,0.0,588.1796875,0.0,588.1796875,0.0
49,49,0.20623207092285156,0,0,0.0,588.1796875,0.0,588.1796875,0.0
