,example_id,duration_milliseconds,cpu_ram_mb,gpu_ram_mb,disk_usage_change_mb,baseline_cpu_ram_mb,baseline_gpu_ram_mb,total_cpu_ram_mb,total_gpu_ram_mb
0,0,313.91215324401855,0.0,0,0.0,586.99609375,0.0,586.96484375,0.0
1,1,421.5123653411865,3.0546875,0,0.0,586.96484375,0.0,590.01953125,0.0
2,2,668.2543754577637,0.0,0,0.0,590.01953125,0.0,589.40625,0.0
3,3,961.5156650543213,0.0,0,0.0,589.40625,0.0,587.03125,0.0
4,4,824.6216773986816,0.0,0,0.0,587.03125,0.0,587.0,0.0
5,5,1120.5484867095947,3.59375,0,0.0,587.0,0.0,590.59375,0.0
6,6,1509.0200901031494,0.0,0,0.0,590.625,0.0,587.07421875,0.0
7,7,449.5959281921387,0.0,0,0.0,587.07421875,0.0,587.05859375,0.0
8,8,1053.621768951416,0.046875,0,0.0,587.05859375,0.0,587.10546875,0.0
9,9,1520.6372737884521,0.0,0,0.0,587.10546875,0.0,587.07421875,0.0
10,10,1101.8595695495605,0.0,0,0.0,587.07421875,0.0,587.07421875,0.0
11,11,1362.0545864105225,0.0,0,0.0,587.10546875,0.0,587.07421875,0.0
12,12,847.7330207824707,0.0,0,0.0,587.07421875,0.0,587.07421875,0.0
13,13,445.296049118042,0.0,0,0.0,587.07421875,0.0,587.07421875,0.0
14,14,1234.9541187286377,0.03125,0,0.0,587.07421875,0.0,587.10546875,0.0
15,15,871.8690872192383,0.0,0,0.0,587.10546875,0.0,587.05859375,0.0
16,16,358.5350513458252,0.015625,0,0.0,587.05859375,0.0,587.07421875,0.0
17,17,409.9879264831543,2.8203125,0,0.14453125,587.07421875,0.0,589.89453125,0.0
18,18,316.29014015197754,0.0,0,0.0,589.89453125,0.0,587.07421875,0.0
19,19,826.6887664794922,0.0,0,0.0,587.07421875,0.0,587.07421875,0.0
20,20,625.7717609405518,0.0,0,0.0,587.07421875,0.0,587.07421875,0.0
21,21,1293.5795783996582,0.0,0,0.0,587.10546875,0.0,587.07421875,0.0
22,22,521.3000774383545,0.0,0,0.0,587.10546875,0.0,587.1015625,0.0
23,23,769.3376541137695,0.0,0,0.0,587.1015625,0.0,587.07421875,0.0
24,24,698.0929374694824,1.73828125,0,0.0,587.07421875,0.0,588.8125,0.0
25,25,476.37367248535156,2.20703125,0,0.0,588.8125,0.0,591.01953125,0.0
26,26,441.10727310180664,0.0,0,0.0,591.01953125,0.0,590.578125,0.0
27,27,1007.1189403533936,0.0,0,0.0,590.578125,0.0,587.125,0.0
28,28,857.0582866668701,0.0,0,0.0,587.125,0.0,587.09375,0.0
29,29,922.6408004760742,0.0234375,0,0.0,587.09375,0.0,587.1171875,0.0
30,30,755.3558349609375,3.25,0,0.0,587.1171875,0.0,590.3671875,0.0
31,31,1252.2258758544922,0.0,0,0.0,590.3671875,0.0,587.109375,0.0
32,32,1279.4981002807617,0.04296875,0,0.0,587.109375,0.0,587.15234375,0.0
33,33,478.11388969421387,0.0,0,0.0,587.15234375,0.0,587.140625,0.0
34,34,367.861270904541,0.0,0,0.0,587.140625,0.0,587.140625,0.0
35,35,1014.6286487579346,0.0,0,0.0,587.140625,0.0,587.140625,0.0
36,36,934.8087310791016,0.0,0,-0.015625,587.140625,0.0,587.140625,0.0
37,37,869.7106838226318,0.0,0,0.0,587.140625,0.0,587.12109375,0.0
38,38,1383.1596374511719,0.01953125,0,0.0,587.12109375,0.0,587.140625,0.0
39,39,829.3025493621826,0.0,0,0.0,587.140625,0.0,587.140625,0.0
40,40,670.4308986663818,0.03125,0,-0.01953125,587.140625,0.0,587.171875,0.0
41,41,1101.0253429412842,2.84765625,0,0.01953125,587.171875,0.0,590.01953125,0.0
42,42,712.5635147094727,0.0,0,0.0,590.01953125,0.0,588.80859375,0.0
43,43,480.1301956176758,0.0,0,0.0,588.80859375,0.0,587.1796875,0.0
44,44,735.2907657623291,2.60546875,0,-0.01953125,587.1796875,0.0,589.78515625,0.0
45,45,442.61837005615234,0.828125,0,0.0,589.78515625,0.0,590.61328125,0.0
46,46,1278.6381244659424,0.0,0,0.0,590.61328125,0.0,590.234375,0.0
47,47,1150.6381034851074,0.0,0,0.0,590.234375,0.0,587.19921875,0.0
48,48,403.32698822021484,2.5234375,0,0.0,587.23046875,0.0,589.75390625,0.0
49,49,690.5679702758789,0.0,0,0.0,589.75390625,0.0,587.23046875,0.0
