,example_id,duration_milliseconds,cpu_ram_mb,gpu_ram_mb,disk_usage_change_mb,baseline_cpu_ram_mb,baseline_gpu_ram_mb,total_cpu_ram_mb,total_gpu_ram_mb
0,0,14.841318130493164,0.0,0,0.0,585.3046875,0.0,585.2734375,0.0
1,1,14.656305313110352,0.0,0,0.0,585.2734375,0.0,585.2734375,0.0
2,2,14.68658447265625,0.00390625,0,0.0,585.2734375,0.0,585.27734375,0.0
3,3,15.14434814453125,0.0,0,0.0,585.27734375,0.0,585.27734375,0.0
4,4,14.506101608276367,0.0,0,0.0,585.27734375,0.0,585.27734375,0.0
5,5,15.02084732055664,0.0,0,0.0,585.27734375,0.0,585.27734375,0.0
6,6,14.560222625732422,0.0,0,0.0,585.27734375,0.0,585.27734375,0.0
7,7,14.375925064086914,0.0,0,0.0,585.27734375,0.0,585.27734375,0.0
8,8,15.391349792480469,0.0,0,0.0,585.30859375,0.0,585.27734375,0.0
9,9,14.348506927490234,0.0,0,0.0,585.27734375,0.0,585.27734375,0.0
10,10,14.246225357055664,0.0,0,0.0,585.27734375,0.0,585.27734375,0.0
11,11,13.698816299438477,0.0,0,0.0,585.27734375,0.0,585.27734375,0.0
12,12,15.10310173034668,0.0,0,0.0,585.27734375,0.0,585.27734375,0.0
13,13,13.777732849121094,0.0,0,0.0,585.27734375,0.0,585.27734375,0.0
14,14,13.486385345458984,0.0,0,0.0,585.27734375,0.0,585.27734375,0.0
15,15,15.259981155395508,0.0,0,0.0,585.27734375,0.0,585.27734375,0.0
16,16,14.12343978881836,0.0,0,0.0,585.30859375,0.0,585.27734375,0.0
17,17,14.430046081542969,0.0,0,0.0,585.30859375,0.0,585.27734375,0.0
18,18,14.600515365600586,0.0,0,0.0,585.27734375,0.0,585.27734375,0.0
19,19,15.320301055908203,0.0,0,0.0,585.27734375,0.0,585.27734375,0.0
20,20,14.908552169799805,0.0,0,0.0,585.27734375,0.0,585.27734375,0.0
21,21,14.23954963684082,0.0,0,0.0,585.27734375,0.0,585.27734375,0.0
22,22,13.94963264465332,0.0,0,0.0,585.27734375,0.0,585.27734375,0.0
23,23,14.155149459838867,0.0,0,0.0,585.27734375,0.0,585.27734375,0.0
24,24,12.848615646362305,0.0,0,0.0,585.27734375,0.0,585.27734375,0.0
25,25,13.844728469848633,0.0,0,0.0,585.27734375,0.0,585.27734375,0.0
26,26,14.559268951416016,0.0,0,0.0,585.27734375,0.0,585.27734375,0.0
27,27,15.709161758422852,0.0,0,0.0,585.30859375,0.0,585.27734375,0.0
28,28,14.408349990844727,0.0,0,0.0,585.27734375,0.0,585.27734375,0.0
29,29,14.846324920654297,0.0,0,0.0,585.27734375,0.0,585.27734375,0.0
30,30,14.670372009277344,0.0,0,0.0,585.27734375,0.0,585.27734375,0.0
31,31,14.016866683959961,0.0,0,0.0,585.27734375,0.0,585.27734375,0.0
32,32,13.64278793334961,0.0,0,0.0,585.27734375,0.0,585.27734375,0.0
33,33,14.143228530883789,0.0,0,0.0,585.27734375,0.0,585.27734375,0.0
34,34,13.948440551757812,0.0,0,0.0,585.27734375,0.0,585.27734375,0.0
35,35,14.12200927734375,0.0,0,0.0,585.27734375,0.0,585.27734375,0.0
36,36,13.650894165039062,0.0,0,0.0,585.27734375,0.0,585.27734375,0.0
37,37,15.177011489868164,0.00390625,0,0.0,585.27734375,0.0,585.28125,0.0
38,38,13.651132583618164,0.0,0,0.0,585.3125,0.0,585.28125,0.0
39,39,13.501644134521484,0.0,0,0.0,585.28125,0.0,585.28125,0.0
40,40,14.128446578979492,0.0,0,0.0,585.28125,0.0,585.28125,0.0
41,41,14.388561248779297,0.0,0,0.0,585.28125,0.0,585.28125,0.0
42,42,14.062881469726562,0.0,0,0.0,585.28125,0.0,585.28125,0.0
43,43,16.144990921020508,0.0,0,0.0,585.28125,0.0,585.28125,0.0
44,44,15.130281448364258,0.0,0,0.0,585.28125,0.0,585.28125,0.0
45,45,14.14799690246582,0.0,0,0.0,585.28125,0.0,585.28125,0.0
46,46,14.7247314453125,0.0,0,0.0,585.28125,0.0,585.28125,0.0
47,47,14.598846435546875,0.0,0,0.0,585.28125,0.0,585.28125,0.0
48,48,15.586376190185547,0.0,0,0.0,585.28125,0.0,585.28125,0.0
49,49,15.064001083374023,0.0,0,0.0,585.28125,0.0,585.28125,0.0
