,group1,group2,meandiff,p-adj,lower,upper,reject
0,original,same_obvious,0.1285,0.0277,0.0092,0.2478,True
1,original,same_subtle,0.0054,0.9999,-0.1139,0.1247,False
2,original,worse_obvious,-0.017,0.9892,-0.1144,0.0804,False
3,original,worse_subtle,0.0273,0.9391,-0.0701,0.1247,False
4,same_obvious,same_subtle,-0.1231,0.0395,-0.2424,-0.0038,True
5,same_obvious,worse_obvious,-0.1454,0.0005,-0.2429,-0.048,True
6,same_obvious,worse_subtle,-0.1012,0.0374,-0.1986,-0.0038,True
7,same_subtle,worse_obvious,-0.0224,0.9699,-0.1198,0.075,False
8,same_subtle,worse_subtle,0.0219,0.9723,-0.0755,0.1193,False
9,worse_obvious,worse_subtle,0.0443,0.3961,-0.0246,0.1132,False
