,group1,group2,meandiff,p-adj,lower,upper,reject
0,original,same_obvious,-0.0135,0.9987,-0.1471,0.1201,False
1,original,same_subtle,0.1328,0.0522,-0.0008,0.2664,False
2,original,worse_obvious,-0.4686,0.0,-0.5777,-0.3595,True
3,original,worse_subtle,-0.3577,0.0,-0.4667,-0.2486,True
4,same_obvious,same_subtle,0.1463,0.0239,0.0127,0.2798,True
5,same_obvious,worse_obvious,-0.4551,0.0,-0.5642,-0.346,True
6,same_obvious,worse_subtle,-0.3442,0.0,-0.4533,-0.2351,True
7,same_subtle,worse_obvious,-0.6014,0.0,-0.7104,-0.4923,True
8,same_subtle,worse_subtle,-0.4905,0.0,-0.5995,-0.3814,True
9,worse_obvious,worse_subtle,0.1109,0.0009,0.0338,0.188,True
