,example_id,duration_milliseconds,cpu_ram_mb,gpu_ram_mb,disk_usage_change_mb,baseline_cpu_ram_mb,baseline_gpu_ram_mb,total_cpu_ram_mb,total_gpu_ram_mb
0,0,1357.7814102172852,0.1875,0,0.0,1844.31640625,0,1844.50390625,0
1,1,1293.6015129089355,0.21875,0,0.0,1844.50390625,0,1844.72265625,0
2,2,1289.5193099975586,1.1171875,0,0.0,1844.72265625,0,1845.83984375,0
3,3,1170.274019241333,0.828125,0,0.0,1845.83984375,0,1846.66796875,0
4,4,1435.305118560791,0.19140625,0,0.0,1846.66796875,0,1846.859375,0
5,5,1167.7789688110352,0.0,0,0.0,1846.859375,0,1846.36328125,0
6,6,1164.5262241363525,0.109375,0,0.0,1846.36328125,0,1846.47265625,0
7,7,1424.736499786377,0.0,0,0.0,1846.47265625,0,1846.328125,0
8,8,1189.02587890625,0.0,0,0.0,1846.328125,0,1845.94921875,0
9,9,1347.3551273345947,1.421875,0,0.0,1845.94921875,0,1847.37109375,0
10,10,1218.421220779419,2.17578125,0,0.0,1847.37109375,0,1849.546875,0
11,11,1283.738374710083,0.0,0,0.0,1849.546875,0,1849.0625,0
12,12,1300.9569644927979,0.0,0,0.0,1849.0625,0,1848.4609375,0
13,13,1395.4079151153564,4.6015625,0,0.0,1848.4609375,0,1853.0625,0
14,14,1275.7112979888916,0.0,0,0.0,1853.0625,0,1853.03125,0
15,15,1206.7525386810303,0.0,0,0.0,1853.03125,0,1852.97265625,0
16,16,1329.0271759033203,0.0625,0,0.0,1852.97265625,0,1853.03515625,0
17,17,1245.4383373260498,0.0,0,0.0,1853.03515625,0,1852.70703125,0
18,18,1242.3038482666016,0.0,0,0.0,1852.70703125,0,1851.4609375,0
19,19,1277.3432731628418,0.0,0,0.0,1851.4609375,0,1851.21484375,0
20,20,1391.155481338501,2.57421875,0,0.0,1851.21484375,0,1853.7890625,0
21,21,1486.0386848449707,0.0,0,0.0,1853.7890625,0,1852.53515625,0
22,22,1414.8898124694824,0.0,0,0.0,1852.53515625,0,1852.1796875,0
23,23,1825.181245803833,0.0,0,0.0,1852.1796875,0,1851.5625,0
24,24,1529.3340682983398,2.47265625,0,0.02734375,1851.5625,0,1854.03515625,0
25,25,1312.9842281341553,0.0,0,0.0,1854.03515625,0,1852.41796875,0
26,26,1373.0342388153076,0.0,0,0.0,1852.41796875,0,1852.08203125,0
27,27,1264.1167640686035,0.453125,0,0.0,1852.08203125,0,1852.53515625,0
28,28,1277.0745754241943,0.0,0,-0.01953125,1852.53515625,0,1852.19921875,0
29,29,1248.4111785888672,1.875,0,0.0,1852.19921875,0,1854.07421875,0
