,example_id,duration_milliseconds,cpu_ram_mb,gpu_ram_mb,disk_usage_change_mb,baseline_cpu_ram_mb,baseline_gpu_ram_mb,total_cpu_ram_mb,total_gpu_ram_mb
0,0,1127.812147140503,7.3359375,0,0.0,1255.703125,0,1263.0390625,0
1,1,1187.751293182373,13.02734375,0,0.0,1263.0390625,0,1276.06640625,0
2,2,1168.3597564697266,0.0,0,0.0,1276.06640625,0,1275.625,0
3,3,1172.435998916626,1.41015625,0,0.0,1275.625,0,1277.03515625,0
4,4,1198.634147644043,8.81640625,0,0.0,1277.03515625,0,1285.8515625,0
5,5,1408.7960720062256,0.0,0,0.0,1285.8515625,0,1281.6640625,0
6,6,1129.0297508239746,4.09765625,0,0.0,1281.6640625,0,1285.76171875,0
7,7,1128.8702487945557,0.0,0,0.0,1285.76171875,0,1285.14453125,0
8,8,1274.430274963379,0.87109375,0,0.0,1285.14453125,0,1286.015625,0
9,9,1115.755319595337,0.0,0,0.0,1286.015625,0,1284.93359375,0
10,10,1213.085651397705,51.49609375,0,0.0,1284.93359375,0,1336.4296875,0
11,11,1373.0669021606445,2.125,0,0.0,1336.4296875,0,1338.5546875,0
12,12,1145.6835269927979,0.0,0,0.0,1338.5546875,0,1337.9609375,0
13,13,1199.2883682250977,14.453125,0,0.0,1337.9609375,0,1352.4140625,0
14,14,1062.126636505127,4.984375,0,0.0,1352.4140625,0,1357.3984375,0
15,15,1151.6046524047852,54.11328125,0,0.0,1357.3984375,0,1411.51171875,0
16,16,1179.7220706939697,18.0859375,0,0.0,1411.51171875,0,1429.59765625,0
17,17,1246.7260360717773,37.98828125,0,0.0,1429.59765625,0,1467.5859375,0
18,18,1383.359432220459,18.7578125,0,0.0,1467.5859375,0,1486.34375,0
19,19,1278.7013053894043,76.78515625,0,0.0,1486.34375,0,1563.12890625,0
20,20,1229.285478591919,20.33984375,0,0.0,1563.12890625,0,1583.46875,0
21,21,1254.3392181396484,31.8515625,0,0.0,1583.46875,0,1615.3203125,0
22,22,1255.354404449463,5.92578125,0,0.0,1615.3203125,0,1621.24609375,0
23,23,1291.0614013671875,33.9375,0,0.01953125,1621.24609375,0,1655.18359375,0
24,24,1237.3831272125244,2.8671875,0,0.0,1655.18359375,0,1658.05078125,0
25,25,1273.1552124023438,16.85546875,0,0.0,1658.05078125,0,1674.90625,0
26,26,1441.9312477111816,2.53515625,0,0.0,1674.90625,0,1677.44140625,0
27,27,1493.6542510986328,11.3828125,0,-0.01953125,1677.44140625,0,1688.82421875,0
28,28,1188.971757888794,0.0,0,0.0,1688.82421875,0,1683.5859375,0
29,29,1155.2207469940186,11.87890625,0,0.0,1683.5859375,0,1695.46484375,0
