,example_id,duration_milliseconds,cpu_ram_mb,gpu_ram_mb,disk_usage_change_mb,baseline_cpu_ram_mb,baseline_gpu_ram_mb,total_cpu_ram_mb,total_gpu_ram_mb
0,0,781.6634178161621,1.484375,0,0.0,918.3984375,0,919.8828125,0
1,1,757.1609020233154,4.88671875,0,0.0,919.8828125,0,924.76953125,0
2,2,770.4951763153076,1.25390625,0,0.0,924.76953125,0,926.0234375,0
3,3,778.064489364624,0.1328125,0,0.0,926.0234375,0,926.15625,0
4,4,841.7634963989258,0.5390625,0,0.0,926.15625,0,926.6953125,0
5,5,794.0104007720947,0.734375,0,0.0,926.6953125,0,927.4296875,0
6,6,783.6034297943115,0.05078125,0,0.0,927.4296875,0,927.48046875,0
7,7,803.9498329162598,0.4375,0,0.0,927.48046875,0,927.91796875,0
8,8,812.3002052307129,1.453125,0,0.0,927.91796875,0,929.37109375,0
9,9,1081.1176300048828,0.0,0,0.0,929.37109375,0,925.8359375,0
10,10,870.0366020202637,8.43359375,0,0.0,925.8359375,0,934.26953125,0
11,11,814.2795562744141,0.0,0,0.0,934.26953125,0,933.52734375,0
12,12,818.7723159790039,0.6875,0,0.0,933.52734375,0,934.21484375,0
13,13,984.5020771026611,0.0,0,0.0,934.21484375,0,933.9375,0
14,14,804.8393726348877,1.875,0,0.0,933.9375,0,935.8125,0
15,15,1040.3568744659424,0.0,0,0.0,935.8125,0,932.92578125,0
16,16,1021.4781761169434,0.0,0,0.0,932.92578125,0,932.8125,0
17,17,871.8652725219727,0.0,0,0.0,932.8125,0,932.203125,0
18,18,1053.2352924346924,3.86328125,0,0.0,932.203125,0,936.06640625,0
19,19,846.5173244476318,4.16015625,0,0.0,936.06640625,0,940.2265625,0
20,20,911.3340377807617,0.0,0,0.0,940.2265625,0,935.59765625,0
21,21,837.7726078033447,3.8125,0,0.0,935.59765625,0,939.41015625,0
22,22,1113.1956577301025,2.87109375,0,0.0,939.41015625,0,942.28125,0
23,23,881.5996646881104,0.0,0,0.0,942.28125,0,938.203125,0
24,24,920.4628467559814,0.0,0,0.0,938.203125,0,937.94921875,0
25,25,1003.2827854156494,6.765625,0,0.0,937.94921875,0,944.71484375,0
26,26,883.0258846282959,0.0,0,0.0,944.71484375,0,939.04296875,0
27,27,1070.2955722808838,0.0,0,0.0,939.04296875,0,937.76953125,0
28,28,890.3727531433105,4.64453125,0,0.0,937.76953125,0,942.4140625,0
29,29,885.6279850006104,0.7109375,0,0.0,942.4140625,0,943.125,0
