,example_id,duration_milliseconds,cpu_ram_mb,gpu_ram_mb,disk_usage_change_mb,baseline_cpu_ram_mb,baseline_gpu_ram_mb,total_cpu_ram_mb,total_gpu_ram_mb
0,0,3.859996795654297,0.0,0,0.0,742.7421875,0,742.7421875,0
1,1,5.949497222900391,0.0,0,0.0,742.7421875,0,742.7421875,0
2,2,4.197597503662109,0.0,0,0.0,742.7421875,0,742.7421875,0
3,3,2.465486526489258,0.0,0,0.0,742.7421875,0,742.7421875,0
4,4,5.594015121459961,0.0,0,0.0,742.7421875,0,742.7421875,0
5,5,4.245758056640625,0.0,0,0.0,742.7421875,0,742.7421875,0
6,6,3.7717819213867188,0.0,0,0.0,742.7421875,0,742.7421875,0
7,7,6.445884704589844,0.0,0,0.0,742.7421875,0,742.7421875,0
8,8,6.0577392578125,0.0,0,0.0,742.7421875,0,742.7421875,0
9,9,3.119945526123047,0.0,0,0.0,742.7421875,0,742.7421875,0
10,10,4.303455352783203,0.0,0,0.0,742.7421875,0,742.7421875,0
11,11,6.856203079223633,0.2578125,0,0.0,742.7421875,0,743.0,0
12,12,6.313323974609375,0.0,0,0.0,743.0,0,743.0,0
13,13,6.389617919921875,0.0,0,0.0,743.0,0,743.0,0
14,14,9.794950485229492,0.2578125,0,0.0,743.0,0,743.2578125,0
15,15,3.9544105529785156,0.0,0,0.0,743.2578125,0,743.2578125,0
16,16,4.335641860961914,0.0,0,0.0,743.2578125,0,743.2578125,0
17,17,6.432533264160156,0.0,0,0.0,743.2578125,0,743.2578125,0
18,18,3.7593841552734375,0.0,0,0.0,743.2578125,0,743.2578125,0
19,19,9.639501571655273,0.2578125,0,0.0,743.2578125,0,743.515625,0
20,20,3.538846969604492,0.0,0,0.0,743.515625,0,743.515625,0
21,21,3.5409927368164062,0.0,0,0.0,743.515625,0,743.515625,0
22,22,9.142160415649414,0.0,0,0.0,743.515625,0,743.515625,0
23,23,4.261255264282227,0.0,0,0.0,743.515625,0,743.515625,0
24,24,3.3583641052246094,0.0,0,0.0,743.515625,0,743.515625,0
25,25,6.716251373291016,0.2578125,0,0.0,743.515625,0,743.7734375,0
26,26,10.756254196166992,0.7734375,0,0.0,743.7734375,0,744.546875,0
27,27,5.843162536621094,0.0,0,0.0,744.546875,0,744.546875,0
28,28,6.727695465087891,0.0,0,0.0,744.546875,0,744.546875,0
29,29,6.675243377685547,0.0,0,0.0,744.546875,0,744.546875,0
