,example_id,duration_milliseconds,cpu_ram_mb,gpu_ram_mb,disk_usage_change_mb,baseline_cpu_ram_mb,baseline_gpu_ram_mb,total_cpu_ram_mb,total_gpu_ram_mb
0,0,0.5786418914794922,0,0,0.0,727.8046875,0,727.8046875,0
1,1,0.4100799560546875,0,0,0.0,727.8046875,0,727.8046875,0
2,2,0.4189014434814453,0,0,0.0,727.8046875,0,727.8046875,0
3,3,0.2205371856689453,0,0,0.0,727.8046875,0,727.8046875,0
4,4,0.18525123596191406,0,0,0.0,727.8046875,0,727.8046875,0
5,5,0.9770393371582031,0,0,0.0,727.8046875,0,727.8046875,0
6,6,0.8933544158935547,0,0,0.0,727.8046875,0,727.8046875,0
7,7,0.385284423828125,0,0,0.0,727.8046875,0,727.8046875,0
8,8,0.63323974609375,0,0,0.0,727.8046875,0,727.8046875,0
9,9,0.6358623504638672,0,0,0.0,727.8046875,0,727.8046875,0
10,10,0.8454322814941406,0,0,0.0,727.8046875,0,727.8046875,0
11,11,0.41222572326660156,0,0,0.0,727.8046875,0,727.8046875,0
12,12,0.4184246063232422,0,0,0.0,727.8046875,0,727.8046875,0
13,13,0.3674030303955078,0,0,0.0,727.8046875,0,727.8046875,0
14,14,0.7085800170898438,0,0,0.0,727.8046875,0,727.8046875,0
15,15,0.8409023284912109,0,0,0.0,727.8046875,0,727.8046875,0
16,16,0.9799003601074219,0,0,0.0,727.8046875,0,727.8046875,0
17,17,0.9624958038330078,0,0,0.0,727.8046875,0,727.8046875,0
18,18,0.9076595306396484,0,0,0.0,727.8046875,0,727.8046875,0
19,19,0.4336833953857422,0,0,0.0,727.8046875,0,727.8046875,0
20,20,0.652313232421875,0,0,0.0,727.8046875,0,727.8046875,0
21,21,0.9701251983642578,0,0,0.0,727.8046875,0,727.8046875,0
22,22,0.38743019104003906,0,0,0.0,727.8046875,0,727.8046875,0
23,23,0.3788471221923828,0,0,0.0,727.8046875,0,727.8046875,0
24,24,0.4150867462158203,0,0,0.0,727.8046875,0,727.8046875,0
25,25,0.38743019104003906,0,0,0.0,727.8046875,0,727.8046875,0
26,26,0.9481906890869141,0,0,0.0,727.8046875,0,727.8046875,0
27,27,0.8282661437988281,0,0,0.0,727.8046875,0,727.8046875,0
28,28,0.42176246643066406,0,0,0.0,727.8046875,0,727.8046875,0
29,29,0.6334781646728516,0,0,0.0,727.8046875,0,727.8046875,0
