,example_id,duration_milliseconds,cpu_ram_mb,gpu_ram_mb,disk_usage_change_mb,baseline_cpu_ram_mb,baseline_gpu_ram_mb,total_cpu_ram_mb,total_gpu_ram_mb
0,0,328.15098762512207,1.71484375,0,0.0,781.50390625,0,783.21875,0
1,1,671.6272830963135,0.0,0,0.0,783.21875,0,781.50390625,0
2,2,1023.707389831543,0.0,0,0.0,781.50390625,0,781.50390625,0
3,3,772.5410461425781,0.0,0,0.0,781.50390625,0,781.50390625,0
4,4,1052.349328994751,0.0,0,-0.01953125,781.50390625,0,781.50390625,0
5,5,434.80968475341797,0.0,0,0.0,781.50390625,0,781.50390625,0
6,6,782.9470634460449,0.0,0,0.0,781.50390625,0,781.50390625,0
7,7,1159.3317985534668,0.0,0,0.0,781.50390625,0,781.50390625,0
8,8,700.148344039917,0.0,0,0.0,781.50390625,0,781.50390625,0
9,9,365.70024490356445,0.0,0,0.0,781.50390625,0,781.50390625,0
10,10,937.7365112304688,0.0546875,0,0.0,781.50390625,0,781.55859375,0
11,11,1206.6411972045898,0.0,0,0.0,781.55859375,0,781.55078125,0
12,12,434.3531131744385,0.01171875,0,0.0,781.55078125,0,781.5625,0
13,13,432.9061508178711,0.0,0,0.0,781.5625,0,781.5625,0
14,14,686.7635250091553,0.0,0,0.0,781.5625,0,781.5546875,0
15,15,719.0797328948975,0.0,0,0.0,781.5546875,0,781.5546875,0
16,16,1110.1350784301758,0.0,0,0.0,781.5546875,0,781.5546875,0
17,17,640.0361061096191,0.0,0,0.0,781.5546875,0,781.5546875,0
18,18,411.40055656433105,0.0,0,0.0,781.5546875,0,781.5546875,0
19,19,375.9489059448242,0.0,0,0.0,781.5546875,0,781.5546875,0
20,20,370.5711364746094,0.0,0,0.0,781.5546875,0,781.5546875,0
21,21,352.4460792541504,0.0,0,0.0,781.5546875,0,781.5546875,0
22,22,855.6020259857178,0.0,0,0.0,781.5546875,0,781.5546875,0
23,23,830.1894664764404,0.0,0,0.0,781.5546875,0,781.5546875,0
24,24,457.7653408050537,0.0,0,0.0,781.5546875,0,781.5546875,0
25,25,984.2562675476074,0.0,0,0.0,781.5546875,0,781.5546875,0
26,26,393.25666427612305,0.0,0,0.0,781.5546875,0,781.5546875,0
27,27,1020.9567546844482,2.69921875,0,0.0,781.5546875,0,784.25390625,0
28,28,1137.6855373382568,0.0,0,0.0,784.25390625,0,781.5546875,0
29,29,1485.112190246582,0.0625,0,0.0,781.5546875,0,781.6171875,0
