,example_id,duration_milliseconds,cpu_ram_mb,gpu_ram_mb,disk_usage_change_mb,baseline_cpu_ram_mb,baseline_gpu_ram_mb,total_cpu_ram_mb,total_gpu_ram_mb
0,0,8.68535041809082,0,0,0.0,768.1953125,0,768.1953125,0
1,1,13.961553573608398,0,0,0.0,768.1953125,0,768.1953125,0
2,2,6.3838958740234375,0,0,0.0,768.1953125,0,768.1953125,0
3,3,11.592864990234375,0,0,0.0,768.1953125,0,768.1953125,0
4,4,22.09305763244629,0,0,0.0,768.1953125,0,768.1953125,0
5,5,13.154029846191406,0,0,0.0,768.1953125,0,768.1953125,0
6,6,8.448123931884766,0,0,0.0,768.1953125,0,768.1953125,0
7,7,21.448373794555664,0,0,0.0,768.1953125,0,768.1953125,0
8,8,5.707502365112305,0,0,0.0,768.1953125,0,768.1953125,0
9,9,6.308317184448242,0,0,0.0,768.1953125,0,768.1953125,0
10,10,25.890588760375977,0,0,0.0,768.1953125,0,768.1953125,0
11,11,23.02265167236328,0,0,0.0,768.1953125,0,768.1953125,0
12,12,23.467302322387695,0,0,0.0,768.1953125,0,768.1953125,0
13,13,7.832050323486328,0,0,0.0,768.1953125,0,768.1953125,0
14,14,20.35069465637207,0,0,0.0,768.1953125,0,768.1953125,0
15,15,7.431268692016602,0,0,0.0,768.1953125,0,768.1953125,0
16,16,6.362199783325195,0,0,0.0,768.1953125,0,768.1953125,0
17,17,6.940603256225586,0,0,0.0,768.1953125,0,768.1953125,0
18,18,7.679939270019531,0,0,0.0,768.1953125,0,768.1953125,0
19,19,19.10996437072754,0,0,0.0,768.1953125,0,768.1953125,0
20,20,14.947652816772461,0,0,0.0,768.1953125,0,768.1953125,0
21,21,15.294313430786133,0,0,0.0,768.1953125,0,768.1953125,0
22,22,13.51475715637207,0,0,0.0,768.1953125,0,768.1953125,0
23,23,26.171445846557617,0,0,0.0,768.1953125,0,768.1953125,0
24,24,14.31584358215332,0,0,0.0,768.1953125,0,768.1953125,0
25,25,23.01168441772461,0,0,0.0,768.1953125,0,768.1953125,0
26,26,16.696691513061523,0,0,0.0,768.1953125,0,768.1953125,0
27,27,20.490169525146484,0,0,0.0,768.1953125,0,768.1953125,0
28,28,6.6471099853515625,0,0,0.0,768.1953125,0,768.1953125,0
29,29,6.191730499267578,0,0,0.0,768.1953125,0,768.1953125,0
