system,task_name,target,recall@1,recall@5,recall@10,recall@15,MRR,NDCG@15
bm25,SimpDA,fluency,0.0,0.0,0.3333333333333333,0.3333333333333333,0.125,0.1480409554829326
bm25,SimpDA,meaning,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,1.0,0.6049306994552042
bm25,SimpDA,simplicity,0.0,0.0,0.0,0.6666666666666666,0.09090909090909091,0.2482216716738863
bm25,SummEval,coherence,0.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.2,0.3016574483354039
bm25,SummEval,consistency,0.0,0.3333333333333333,1.0,1.0,0.2,0.4860089900278707
bm25,SummEval,fluency,0.0,0.0,0.5,1.0,0.16666666666666666,0.3753473811960941
bm25,SummEval,relevance,0.0,0.0,0.75,0.75,0.16666666666666666,0.3866989675979033
colbert,SimpDA,fluency,0.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.40179981797758046
colbert,SimpDA,meaning,0.0,0.0,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.16716045496620227
colbert,SimpDA,simplicity,0.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.5,0.4441228664487979
colbert,SummEval,coherence,0.3333333333333333,0.3333333333333333,0.6666666666666666,1.0,1.0,0.7414476890507826
colbert,SummEval,consistency,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,0.7928654229965442
colbert,SummEval,fluency,0.5,0.5,0.5,0.5,1.0,0.6131471927654584
colbert,SummEval,relevance,0.25,0.25,0.5,0.5,1.0,0.5294362295028773
llm,SimpDA,fluency,0.0,0.3333333333333333,0.6666666666666666,1.0,0.5,0.5833580217301187
llm,SimpDA,meaning,0.3333333333333333,1.0,1.0,1.0,1.0,1.0
llm,SimpDA,simplicity,0.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.25,0.33775931993299535
llm,SummEval,coherence,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,0.6713860725233041
llm,SummEval,consistency,0.3333333333333333,0.6666666666666666,1.0,1.0,1.0,0.9325210919548239
llm,SummEval,fluency,0.5,0.5,1.0,1.0,1.0,0.8315546295836225
llm,SummEval,relevance,0.25,1.0,1.0,1.0,1.0,0.9047172294870751
